prot_index,ph,note,ph_dependence,uniprot_id
21,9.0,for hemagglutinating activity. The activity is decreased by 25% at pH 6.0 and by 50% at pH 4.0. {ECO:0000269|Ref.2};,Optimum pH is 9-10 for hemagglutinating activity. The activity is decreased by 25% at pH 6.0 and by 50% at pH 4.0. {ECO:0000269|Ref.2};,A0A0G2UGT2
21,10.0,for hemagglutinating activity. The activity is decreased by 25% at pH 6.0 and by 50% at pH 4.0. {ECO:0000269|Ref.2};,Optimum pH is 9-10 for hemagglutinating activity. The activity is decreased by 25% at pH 6.0 and by 50% at pH 4.0. {ECO:0000269|Ref.2};,A0A0G2UGT2
22,7.5,for isoglutaminyl synthase activity. {ECO:0000269|PubMed:22291598};,Optimum pH is 7.5-7.8 for isoglutaminyl synthase activity. {ECO:0000269|PubMed:22291598};,A0A0H3JN63
22,7.8,for isoglutaminyl synthase activity. {ECO:0000269|PubMed:22291598};,Optimum pH is 7.5-7.8 for isoglutaminyl synthase activity. {ECO:0000269|PubMed:22291598};,A0A0H3JN63
23,7.5,for isoglutaminyl synthase activity. {ECO:0000269|PubMed:22291598};,Optimum pH is 7.5-7.8 for isoglutaminyl synthase activity. {ECO:0000269|PubMed:22291598};,A0A0H3JUU7
23,7.8,for isoglutaminyl synthase activity. {ECO:0000269|PubMed:22291598};,Optimum pH is 7.5-7.8 for isoglutaminyl synthase activity. {ECO:0000269|PubMed:22291598};,A0A0H3JUU7
24,7.0,{ECO:0000269|PubMed:27218267};,Optimum pH is around 7-8. {ECO:0000269|PubMed:27218267};,A0A0H3LKL4
24,8.0,{ECO:0000269|PubMed:27218267};,Optimum pH is around 7-8. {ECO:0000269|PubMed:27218267};,A0A0H3LKL4
25,7.0,{ECO:0000269|PubMed:25997073};,Optimum pH is 7.0-7.5. {ECO:0000269|PubMed:25997073};,A0A0H5BMX5
25,7.5,{ECO:0000269|PubMed:25997073};,Optimum pH is 7.0-7.5. {ECO:0000269|PubMed:25997073};,A0A0H5BMX5
26,7.0,{ECO:0000269|PubMed:34644530};,Optimum pH is 7.0-9.5. {ECO:0000269|PubMed:34644530};,A0A0J5ZXG5
26,9.5,{ECO:0000269|PubMed:34644530};,Optimum pH is 7.0-9.5. {ECO:0000269|PubMed:34644530};,A0A0J5ZXG5
30,8.0,{ECO:0000269|PubMed:25875730};,Optimum pH is 8.0-8.5. {ECO:0000269|PubMed:25875730};,A0A0P0ZBS7
30,8.5,{ECO:0000269|PubMed:25875730};,Optimum pH is 8.0-8.5. {ECO:0000269|PubMed:25875730};,A0A0P0ZBS7
33,4.0,{ECO:0000269|PubMed:32591529};,Optimum pH is 4-5. {ECO:0000269|PubMed:32591529};,A0A144A134
33,5.0,{ECO:0000269|PubMed:32591529};,Optimum pH is 4-5. {ECO:0000269|PubMed:32591529};,A0A144A134
38,7.5,Is stable from pH 6.0-11.0. {ECO:0000269|PubMed:27713017};,Optimum pH is 7.5-8.0. Is stable from pH 6.0-11.0. {ECO:0000269|PubMed:27713017};,A0A1L7NQ96
38,8.0,Is stable from pH 6.0-11.0. {ECO:0000269|PubMed:27713017};,Optimum pH is 7.5-8.0. Is stable from pH 6.0-11.0. {ECO:0000269|PubMed:27713017};,A0A1L7NQ96
45,5.0,{ECO:0000269|PubMed:27133313};,Optimum pH is 5-7. {ECO:0000269|PubMed:27133313};,A0A336U966
45,7.0,{ECO:0000269|PubMed:27133313};,Optimum pH is 5-7. {ECO:0000269|PubMed:27133313};,A0A336U966
58,7.4,{ECO:0000269|PubMed:35338694};,Optimum pH is 7.4-7.8. {ECO:0000269|PubMed:35338694};,A0QYE8
58,7.8,{ECO:0000269|PubMed:35338694};,Optimum pH is 7.4-7.8. {ECO:0000269|PubMed:35338694};,A0QYE8
63,6.0,"for the amylase activity and 7.0 for the trehalose synthase activity. {ECO:0000269|PubMed:15511231, ECO:0000269|PubMed:18505459};","Optimum pH is between 6.0-6.2 for the amylase activity and 7.0 for the trehalose synthase activity. {ECO:0000269|PubMed:15511231, ECO:0000269|PubMed:18505459};",A0R6E0
63,6.2,"for the amylase activity and 7.0 for the trehalose synthase activity. {ECO:0000269|PubMed:15511231, ECO:0000269|PubMed:18505459};","Optimum pH is between 6.0-6.2 for the amylase activity and 7.0 for the trehalose synthase activity. {ECO:0000269|PubMed:15511231, ECO:0000269|PubMed:18505459};",A0R6E0
73,7.0,{ECO:0000269|PubMed:19013210};,Optimum pH is 7.0-10.5. {ECO:0000269|PubMed:19013210};,A2TK72
73,10.5,{ECO:0000269|PubMed:19013210};,Optimum pH is 7.0-10.5. {ECO:0000269|PubMed:19013210};,A2TK72
77,5.0,{ECO:0000269|PubMed:7883725};,Optimum pH is 5-6. {ECO:0000269|PubMed:7883725};,A3DH67
77,6.0,{ECO:0000269|PubMed:7883725};,Optimum pH is 5-6. {ECO:0000269|PubMed:7883725};,A3DH67
81,7.5,Stable between 7.5-10.0. {ECO:0000269|PubMed:17336932};,Optimum pH is 7.5-8.0. Stable between 7.5-10.0. {ECO:0000269|PubMed:17336932};,A3FEW8
81,8.0,Stable between 7.5-10.0. {ECO:0000269|PubMed:17336932};,Optimum pH is 7.5-8.0. Stable between 7.5-10.0. {ECO:0000269|PubMed:17336932};,A3FEW8
82,7.0,{ECO:0000269|PubMed:25200083};,Optimum pH is 7-9. {ECO:0000269|PubMed:25200083};,A3MTK6
82,9.0,{ECO:0000269|PubMed:25200083};,Optimum pH is 7-9. {ECO:0000269|PubMed:25200083};,A3MTK6
86,5.0,Half maximum activity is seen at pH 3.5 and 6.5. {ECO:0000269|PubMed:16098548};,Optimum pH is 5.0-6.0. Half maximum activity is seen at pH 3.5 and 6.5. {ECO:0000269|PubMed:16098548};,A3RF67
86,6.0,Half maximum activity is seen at pH 3.5 and 6.5. {ECO:0000269|PubMed:16098548};,Optimum pH is 5.0-6.0. Half maximum activity is seen at pH 3.5 and 6.5. {ECO:0000269|PubMed:16098548};,A3RF67
100,8.0,Activity decreases rapidly at values above pH 11 and below pH 8. Is inactive at pH 4.3. {ECO:0000269|PubMed:14594827};,Optimum pH is 8-11. Activity decreases rapidly at values above pH 11 and below pH 8. Is inactive at pH 4.3. {ECO:0000269|PubMed:14594827};,A5U4N0
100,11.0,Activity decreases rapidly at values above pH 11 and below pH 8. Is inactive at pH 4.3. {ECO:0000269|PubMed:14594827};,Optimum pH is 8-11. Activity decreases rapidly at values above pH 11 and below pH 8. Is inactive at pH 4.3. {ECO:0000269|PubMed:14594827};,A5U4N0
104,7.0,Retains 24% of maximal activity at pH 5 and 14% of activity at pH 9. {ECO:0000269|PubMed:32421169};,Optimum pH is 7-8. Retains 24% of maximal activity at pH 5 and 14% of activity at pH 9. {ECO:0000269|PubMed:32421169};,A6M9B7
104,8.0,Retains 24% of maximal activity at pH 5 and 14% of activity at pH 9. {ECO:0000269|PubMed:32421169};,Optimum pH is 7-8. Retains 24% of maximal activity at pH 5 and 14% of activity at pH 9. {ECO:0000269|PubMed:32421169};,A6M9B7
111,6.0,{ECO:0000269|PubMed:24463512};,Optimum pH is 6.0-7.0. {ECO:0000269|PubMed:24463512};,A7LXT0
111,7.0,{ECO:0000269|PubMed:24463512};,Optimum pH is 6.0-7.0. {ECO:0000269|PubMed:24463512};,A7LXT0
112,6.0,{ECO:0000269|PubMed:24463512};,Optimum pH is 6.0-7.0. {ECO:0000269|PubMed:24463512};,A7LXT7
112,7.0,{ECO:0000269|PubMed:24463512};,Optimum pH is 6.0-7.0. {ECO:0000269|PubMed:24463512};,A7LXT7
113,4.0,"{ECO:0000269|PubMed:17636254, ECO:0000269|PubMed:17644627};","Optimum pH is 4-5. {ECO:0000269|PubMed:17636254, ECO:0000269|PubMed:17644627};",A7WM73
113,5.0,"{ECO:0000269|PubMed:17636254, ECO:0000269|PubMed:17644627};","Optimum pH is 4-5. {ECO:0000269|PubMed:17636254, ECO:0000269|PubMed:17644627};",A7WM73
122,7.0,{ECO:0000269|PubMed:18053006};,Optimum pH is 7.0-7.5. {ECO:0000269|PubMed:18053006};,B0EXJ8
122,7.5,{ECO:0000269|PubMed:18053006};,Optimum pH is 7.0-7.5. {ECO:0000269|PubMed:18053006};,B0EXJ8
124,8.5,{ECO:0000269|PubMed:19754426};,Optimum pH is 8.5-9.0. {ECO:0000269|PubMed:19754426};,B0M3E8
124,9.0,{ECO:0000269|PubMed:19754426};,Optimum pH is 8.5-9.0. {ECO:0000269|PubMed:19754426};,B0M3E8
136,8.0,{ECO:0000269|PubMed:18296628};,Optimum pH is 8-9.5. {ECO:0000269|PubMed:18296628};,B2C4D0
136,9.5,{ECO:0000269|PubMed:18296628};,Optimum pH is 8-9.5. {ECO:0000269|PubMed:18296628};,B2C4D0
137,7.4,{ECO:0000269|Ref.1};,Optimum pH is 7.4-8.0. {ECO:0000269|Ref.1};,B2DEU7
137,8.0,{ECO:0000269|Ref.1};,Optimum pH is 7.4-8.0. {ECO:0000269|Ref.1};,B2DEU7
142,7.7,{ECO:0000269|PubMed:17240984};,Optimum pH is 7.7-8.5. {ECO:0000269|PubMed:17240984};,B2J528
142,8.5,{ECO:0000269|PubMed:17240984};,Optimum pH is 7.7-8.5. {ECO:0000269|PubMed:17240984};,B2J528
149,6.0,Retains more than 70% of the maximum agglutinating activity over the pH range 5-9. {ECO:0000269|PubMed:19100814};,Optimum pH is 6-6.5. Retains more than 70% of the maximum agglutinating activity over the pH range 5-9. {ECO:0000269|PubMed:19100814};,B2ZRS9
149,6.5,Retains more than 70% of the maximum agglutinating activity over the pH range 5-9. {ECO:0000269|PubMed:19100814};,Optimum pH is 6-6.5. Retains more than 70% of the maximum agglutinating activity over the pH range 5-9. {ECO:0000269|PubMed:19100814};,B2ZRS9
150,7.5,{ECO:0000269|PubMed:20633278};,Optimum pH is 7.5-8.5. {ECO:0000269|PubMed:20633278};,B3A003
150,8.5,{ECO:0000269|PubMed:20633278};,Optimum pH is 7.5-8.5. {ECO:0000269|PubMed:20633278};,B3A003
151,6.0,{ECO:0000269|PubMed:9291571};,Optimum pH is 6-8. {ECO:0000269|PubMed:9291571};,B3A0S5
151,8.0,{ECO:0000269|PubMed:9291571};,Optimum pH is 6-8. {ECO:0000269|PubMed:9291571};,B3A0S5
157,6.0,{ECO:0000269|PubMed:33107907};,Optimum pH is 6.0-6.5. {ECO:0000269|PubMed:33107907};,B5XRB0
157,6.5,{ECO:0000269|PubMed:33107907};,Optimum pH is 6.0-6.5. {ECO:0000269|PubMed:33107907};,B5XRB0
167,6.5,{ECO:0000269|PubMed:21921028};,Optimum pH is 6.5-7.5. {ECO:0000269|PubMed:21921028};,B8JLQ9
167,7.5,{ECO:0000269|PubMed:21921028};,Optimum pH is 6.5-7.5. {ECO:0000269|PubMed:21921028};,B8JLQ9
179,7.0,"Activity decreases rapidly at basic or acidic pH and is virtually absent at pH 12 and pH 3.5, respectively. {ECO:0000269|PubMed:17451767};","Optimum pH is 7.0-8.5. Activity decreases rapidly at basic or acidic pH and is virtually absent at pH 12 and pH 3.5, respectively. {ECO:0000269|PubMed:17451767};",C0HJU3
179,8.5,"Activity decreases rapidly at basic or acidic pH and is virtually absent at pH 12 and pH 3.5, respectively. {ECO:0000269|PubMed:17451767};","Optimum pH is 7.0-8.5. Activity decreases rapidly at basic or acidic pH and is virtually absent at pH 12 and pH 3.5, respectively. {ECO:0000269|PubMed:17451767};",C0HJU3
180,7.0,with activity decreasing quickly at higher or lower pH. {ECO:0000269|PubMed:24519628};,Optimum pH is 7-9 with activity decreasing quickly at higher or lower pH. {ECO:0000269|PubMed:24519628};,C0HJY1
180,9.0,with activity decreasing quickly at higher or lower pH. {ECO:0000269|PubMed:24519628};,Optimum pH is 7-9 with activity decreasing quickly at higher or lower pH. {ECO:0000269|PubMed:24519628};,C0HJY1
182,6.0,{ECO:0000269|PubMed:28150103};,Optimum pH is 6-7. {ECO:0000269|PubMed:28150103};,C0HK25
182,7.0,{ECO:0000269|PubMed:28150103};,Optimum pH is 6-7. {ECO:0000269|PubMed:28150103};,C0HK25
192,8.5,{ECO:0000269|PubMed:29691540};,Optimum pH is 8.5-9. {ECO:0000269|PubMed:29691540};,C4LSS0
192,9.0,{ECO:0000269|PubMed:29691540};,Optimum pH is 8.5-9. {ECO:0000269|PubMed:29691540};,C4LSS0
193,6.4,"{ECO:0000269|PubMed:178659, ECO:0000269|PubMed:4372217, ECO:0000269|PubMed:9445396};","Optimum pH is 6.4-7.2. {ECO:0000269|PubMed:178659, ECO:0000269|PubMed:4372217, ECO:0000269|PubMed:9445396};",C4LZC2
193,7.2,"{ECO:0000269|PubMed:178659, ECO:0000269|PubMed:4372217, ECO:0000269|PubMed:9445396};","Optimum pH is 6.4-7.2. {ECO:0000269|PubMed:178659, ECO:0000269|PubMed:4372217, ECO:0000269|PubMed:9445396};",C4LZC2
200,8.0,"{ECO:0000269|PubMed:19525322, ECO:0000269|PubMed:20580386};","Optimum pH is 8.0-8.8. {ECO:0000269|PubMed:19525322, ECO:0000269|PubMed:20580386};",C7AE94
200,8.8,"{ECO:0000269|PubMed:19525322, ECO:0000269|PubMed:20580386};","Optimum pH is 8.0-8.8. {ECO:0000269|PubMed:19525322, ECO:0000269|PubMed:20580386};",C7AE94
213,3.5,{ECO:0000269|PubMed:20075040};,Optimum pH is 3.5-4.5. {ECO:0000269|PubMed:20075040};,D3WYW0
213,4.5,{ECO:0000269|PubMed:20075040};,Optimum pH is 3.5-4.5. {ECO:0000269|PubMed:20075040};,D3WYW0
220,8.0,{ECO:0000269|PubMed:26546423};,Optimum pH is 8-9. {ECO:0000269|PubMed:26546423};,D4GT97
220,9.0,{ECO:0000269|PubMed:26546423};,Optimum pH is 8-9. {ECO:0000269|PubMed:26546423};,D4GT97
223,7.0,Displays little to no activity at low pH (pH 6.5 and below). {ECO:0000269|PubMed:22970855};,Optimum pH is 7-10. Displays little to no activity at low pH (pH 6.5 and below). {ECO:0000269|PubMed:22970855};,D4GTS4
223,10.0,Displays little to no activity at low pH (pH 6.5 and below). {ECO:0000269|PubMed:22970855};,Optimum pH is 7-10. Displays little to no activity at low pH (pH 6.5 and below). {ECO:0000269|PubMed:22970855};,D4GTS4
226,7.0,for the Suc-LLVY-Amc hydrolyzing activity (with the alpha1-beta proteasome subtype). {ECO:0000269|PubMed:10482525};,Optimum pH is 7.0-9.3 for the Suc-LLVY-Amc hydrolyzing activity (with the alpha1-beta proteasome subtype). {ECO:0000269|PubMed:10482525};,D4GYZ1
226,9.3,for the Suc-LLVY-Amc hydrolyzing activity (with the alpha1-beta proteasome subtype). {ECO:0000269|PubMed:10482525};,Optimum pH is 7.0-9.3 for the Suc-LLVY-Amc hydrolyzing activity (with the alpha1-beta proteasome subtype). {ECO:0000269|PubMed:10482525};,D4GYZ1
227,4.0,"for p-nitrophenyl-beta-d-cellotrioside (pNP-G3), and 4-8 for p-nitrophenyl-beta-d-cellopentaoside (pNP-G5). {ECO:0000269|PubMed:23733951};","Optimum pH is 4-6.5 for p-nitrophenyl-beta-d-cellotrioside (pNP-G3), and 4-8 for p-nitrophenyl-beta-d-cellopentaoside (pNP-G5). {ECO:0000269|PubMed:23733951};",D4HRL0
227,6.5,"for p-nitrophenyl-beta-d-cellotrioside (pNP-G3), and 4-8 for p-nitrophenyl-beta-d-cellopentaoside (pNP-G5). {ECO:0000269|PubMed:23733951};","Optimum pH is 4-6.5 for p-nitrophenyl-beta-d-cellotrioside (pNP-G3), and 4-8 for p-nitrophenyl-beta-d-cellopentaoside (pNP-G5). {ECO:0000269|PubMed:23733951};",D4HRL0
232,6.5,{ECO:0000269|PubMed:17080644};,Optimum pH is 6.5-7.5. {ECO:0000269|PubMed:17080644};,D5JWB3
232,7.5,{ECO:0000269|PubMed:17080644};,Optimum pH is 6.5-7.5. {ECO:0000269|PubMed:17080644};,D5JWB3
233,7.0,{ECO:0000269|PubMed:15743273};,Optimum pH is 7.0-7.5. {ECO:0000269|PubMed:15743273};,D5MP61
233,7.5,{ECO:0000269|PubMed:15743273};,Optimum pH is 7.0-7.5. {ECO:0000269|PubMed:15743273};,D5MP61
238,6.0,{ECO:0000269|PubMed:24466148};,Optimum pH is 6.0-8.0. {ECO:0000269|PubMed:24466148};,D6XZ22
238,8.0,{ECO:0000269|PubMed:24466148};,Optimum pH is 6.0-8.0. {ECO:0000269|PubMed:24466148};,D6XZ22
240,6.0,{ECO:0000269|PubMed:23179444};,Optimum pH is 6.0-6.50. {ECO:0000269|PubMed:23179444};,D8QTR2
240,6.5,{ECO:0000269|PubMed:23179444};,Optimum pH is 6.0-6.50. {ECO:0000269|PubMed:23179444};,D8QTR2
241,5.5,{ECO:0000269|PubMed:20491902};,Optimum pH is 5.5-6.0. {ECO:0000269|PubMed:20491902};,D8VPP5
241,6.0,{ECO:0000269|PubMed:20491902};,Optimum pH is 5.5-6.0. {ECO:0000269|PubMed:20491902};,D8VPP5
245,6.0,{ECO:0000269|PubMed:20722388};,Optimum pH is 6-9. {ECO:0000269|PubMed:20722388};,E0Y3X1
245,9.0,{ECO:0000269|PubMed:20722388};,Optimum pH is 6-9. {ECO:0000269|PubMed:20722388};,E0Y3X1
250,4.5,{ECO:0000269|PubMed:20971893};,Optimum pH is 4.5-5.0. {ECO:0000269|PubMed:20971893};,E3W9M2
250,5.0,{ECO:0000269|PubMed:20971893};,Optimum pH is 4.5-5.0. {ECO:0000269|PubMed:20971893};,E3W9M2
258,8.0,{ECO:0000269|PubMed:11071944};,Optimum pH is 8-10. {ECO:0000269|PubMed:11071944};,E7FHX4
258,10.0,{ECO:0000269|PubMed:11071944};,Optimum pH is 8-10. {ECO:0000269|PubMed:11071944};,E7FHX4
263,8.5,"for azetidine-2-carboxylate and 6.5-7 for (S)-1-pyrroline-5-carboxylate. {ECO:0000269|PubMed:12761200, ECO:0000269|PubMed:15308773};","Optimum pH is 8.5-9 for azetidine-2-carboxylate and 6.5-7 for (S)-1-pyrroline-5-carboxylate. {ECO:0000269|PubMed:12761200, ECO:0000269|PubMed:15308773};",E9P8D2
263,9.0,"for azetidine-2-carboxylate and 6.5-7 for (S)-1-pyrroline-5-carboxylate. {ECO:0000269|PubMed:12761200, ECO:0000269|PubMed:15308773};","Optimum pH is 8.5-9 for azetidine-2-carboxylate and 6.5-7 for (S)-1-pyrroline-5-carboxylate. {ECO:0000269|PubMed:12761200, ECO:0000269|PubMed:15308773};",E9P8D2
266,5.0,{ECO:0000269|PubMed:34040256};,Optimum pH is 5.0-5.5. {ECO:0000269|PubMed:34040256};,F1NJ67
266,5.5,{ECO:0000269|PubMed:34040256};,Optimum pH is 5.0-5.5. {ECO:0000269|PubMed:34040256};,F1NJ67
267,4.5,{ECO:0000269|PubMed:16759730};,Optimum pH is 4.5-7.5. {ECO:0000269|PubMed:16759730};,F1NPQ2
267,7.5,{ECO:0000269|PubMed:16759730};,Optimum pH is 4.5-7.5. {ECO:0000269|PubMed:16759730};,F1NPQ2
270,7.0,{ECO:0000269|PubMed:4996162};,Optimum pH is 7-7.5. {ECO:0000269|PubMed:4996162};,F1RQM2
270,7.5,{ECO:0000269|PubMed:4996162};,Optimum pH is 7-7.5. {ECO:0000269|PubMed:4996162};,F1RQM2
275,8.5,;,Optimum pH is 8.5-9.0.;,F4HU51
275,9.0,;,Optimum pH is 8.5-9.0.;,F4HU51
277,6.8,{ECO:0000269|PubMed:18495639};,Optimum pH is 6.8-7.8. {ECO:0000269|PubMed:18495639};,F4I907
277,7.8,{ECO:0000269|PubMed:18495639};,Optimum pH is 6.8-7.8. {ECO:0000269|PubMed:18495639};,F4I907
278,7.0,{ECO:0000269|PubMed:22450164};,Optimum pH is 7.0-8.0. {ECO:0000269|PubMed:22450164};,F4IH31
278,8.0,{ECO:0000269|PubMed:22450164};,Optimum pH is 7.0-8.0. {ECO:0000269|PubMed:22450164};,F4IH31
286,6.0,{ECO:0000269|PubMed:21796445};,Optimum pH is 6.0-7.0. {ECO:0000269|PubMed:21796445};,F4JZC2
286,7.0,{ECO:0000269|PubMed:21796445};,Optimum pH is 6.0-7.0. {ECO:0000269|PubMed:21796445};,F4JZC2
292,4.0,{ECO:0000269|PubMed:8975597};,Optimum pH is 4-6. {ECO:0000269|PubMed:8975597};,G0RUP7
292,6.0,{ECO:0000269|PubMed:8975597};,Optimum pH is 4-6. {ECO:0000269|PubMed:8975597};,G0RUP7
294,5.5,{ECO:0000269|PubMed:21783213};,Optimum pH is 5.5-6. {ECO:0000269|PubMed:21783213};,G1FNI6
294,6.0,{ECO:0000269|PubMed:21783213};,Optimum pH is 5.5-6. {ECO:0000269|PubMed:21783213};,G1FNI6
302,6.0,{ECO:0000269|Ref.1};,Optimum pH is 6-8. {ECO:0000269|Ref.1};,G3FNQ9
302,8.0,{ECO:0000269|Ref.1};,Optimum pH is 6-8. {ECO:0000269|Ref.1};,G3FNQ9
305,8.0,{ECO:0000269|PubMed:15226302};,Optimum pH is 8.0-9.0. {ECO:0000269|PubMed:15226302};,G3XD94
305,9.0,{ECO:0000269|PubMed:15226302};,Optimum pH is 8.0-9.0. {ECO:0000269|PubMed:15226302};,G3XD94
307,5.0,when using synthetic substrate p-nitrophenyl-alpha-D-galactopyranoside. {ECO:0000269|PubMed:9741105};,Optimum pH is 5.0-5.5 when using synthetic substrate p-nitrophenyl-alpha-D-galactopyranoside. {ECO:0000269|PubMed:9741105};,G4FEF4
307,5.5,when using synthetic substrate p-nitrophenyl-alpha-D-galactopyranoside. {ECO:0000269|PubMed:9741105};,Optimum pH is 5.0-5.5 when using synthetic substrate p-nitrophenyl-alpha-D-galactopyranoside. {ECO:0000269|PubMed:9741105};,G4FEF4
310,5.0,Loses activity rapidly when pH is lowered from 5 to 4. {ECO:0000269|PubMed:25849978};,Optimum pH is between 5-5.5. Loses activity rapidly when pH is lowered from 5 to 4. {ECO:0000269|PubMed:25849978};,G5DAC6
310,5.5,Loses activity rapidly when pH is lowered from 5 to 4. {ECO:0000269|PubMed:25849978};,Optimum pH is between 5-5.5. Loses activity rapidly when pH is lowered from 5 to 4. {ECO:0000269|PubMed:25849978};,G5DAC6
311,4.5,Loses activity rapidly when pH is lowered from 5 to 4. {ECO:0000269|PubMed:25849978};,Optimum pH is between 4.5-6.5. Loses activity rapidly when pH is lowered from 5 to 4. {ECO:0000269|PubMed:25849978};,G5DAC7
311,6.5,Loses activity rapidly when pH is lowered from 5 to 4. {ECO:0000269|PubMed:25849978};,Optimum pH is between 4.5-6.5. Loses activity rapidly when pH is lowered from 5 to 4. {ECO:0000269|PubMed:25849978};,G5DAC7
313,6.0,{ECO:0000269|PubMed:15604090};,Optimum pH is 6-7.5. {ECO:0000269|PubMed:15604090};,G5EFE7
313,7.5,{ECO:0000269|PubMed:15604090};,Optimum pH is 6-7.5. {ECO:0000269|PubMed:15604090};,G5EFE7
314,7.5,{ECO:0000269|PubMed:17897734};,Optimum pH is 7.5-8.5. {ECO:0000269|PubMed:17897734};,G5EFZ1
314,8.5,{ECO:0000269|PubMed:17897734};,Optimum pH is 7.5-8.5. {ECO:0000269|PubMed:17897734};,G5EFZ1
325,8.0,for the hemagglutinating activity of the human erythrocytes. {ECO:0000269|PubMed:9568372};,Optimum pH is between 8-10 for the hemagglutinating activity of the human erythrocytes. {ECO:0000269|PubMed:9568372};,H2FH31
325,10.0,for the hemagglutinating activity of the human erythrocytes. {ECO:0000269|PubMed:9568372};,Optimum pH is between 8-10 for the hemagglutinating activity of the human erythrocytes. {ECO:0000269|PubMed:9568372};,H2FH31
335,5.0,{ECO:0000269|PubMed:11179980};,Optimum pH is 5-7. {ECO:0000269|PubMed:11179980};,I1SB12
335,7.0,{ECO:0000269|PubMed:11179980};,Optimum pH is 5-7. {ECO:0000269|PubMed:11179980};,I1SB12
345,6.5,{ECO:0000269|PubMed:22474185};,Optimum pH is 6.5-7.5. {ECO:0000269|PubMed:22474185};,I4DST8
345,7.5,{ECO:0000269|PubMed:22474185};,Optimum pH is 6.5-7.5. {ECO:0000269|PubMed:22474185};,I4DST8
346,6.5,{ECO:0000269|PubMed:22474185};,Optimum pH is 6.5-7.5. {ECO:0000269|PubMed:22474185};,I4DST9
346,7.5,{ECO:0000269|PubMed:22474185};,Optimum pH is 6.5-7.5. {ECO:0000269|PubMed:22474185};,I4DST9
354,7.5,{ECO:0000269|PubMed:18509457};,Optimum pH is 7.5-8.0. {ECO:0000269|PubMed:18509457};,I6YFP0
354,8.0,{ECO:0000269|PubMed:18509457};,Optimum pH is 7.5-8.0. {ECO:0000269|PubMed:18509457};,I6YFP0
359,3.67,{ECO:0000269|PubMed:28482127};,Optimum pH is 3.67-8. {ECO:0000269|PubMed:28482127};,K4CWS6
359,8.0,{ECO:0000269|PubMed:28482127};,Optimum pH is 3.67-8. {ECO:0000269|PubMed:28482127};,K4CWS6
360,6.0,{ECO:0000269|PubMed:23578498};,Optimum pH is 6.0-8.0. {ECO:0000269|PubMed:23578498};,K4LLQ2
360,8.0,{ECO:0000269|PubMed:23578498};,Optimum pH is 6.0-8.0. {ECO:0000269|PubMed:23578498};,K4LLQ2
364,8.0,{ECO:0000269|PubMed:25786135};,Optimum pH is 8.0-8.5. {ECO:0000269|PubMed:25786135};,K7WQ45
364,8.5,{ECO:0000269|PubMed:25786135};,Optimum pH is 8.0-8.5. {ECO:0000269|PubMed:25786135};,K7WQ45
365,7.0,"At low pH values the enzyme is rapidly inactivated, whereas in basic medium inactivation is rather slow. {ECO:0000269|PubMed:21073421};","Optimum pH is 7-8. At low pH values the enzyme is rapidly inactivated, whereas in basic medium inactivation is rather slow. {ECO:0000269|PubMed:21073421};",K9NBS6
365,8.0,"At low pH values the enzyme is rapidly inactivated, whereas in basic medium inactivation is rather slow. {ECO:0000269|PubMed:21073421};","Optimum pH is 7-8. At low pH values the enzyme is rapidly inactivated, whereas in basic medium inactivation is rather slow. {ECO:0000269|PubMed:21073421};",K9NBS6
