prot_index,uniprot_id,ph_dependence,note
31,A0A0S4FKT4,Activity is stable from pH 3.5 and 10.5. {ECO:0000269|PubMed:26227411};,
654,P06733,Enolase activity is lost above pH 9.0. Immunoglobulin production stimulating activity is retained at pH 13.0. {ECO:0000269|PubMed:1369209};,
658,P06961,"Optimum pH is 9.4 for AMP incorporation, 10.0 for CMP incorporation, and 7.0 for the phosphatase and phosphodiesterase activities. {ECO:0000269|PubMed:15210699, ECO:0000269|PubMed:3516995};",
665,P07711,"Optimum pH is 5.5, also active at pH 7.0 with CUX1 as substrate. {ECO:0000269|PubMed:10716919, ECO:0000269|PubMed:15099520, ECO:0000269|PubMed:18562523, ECO:0000269|PubMed:9468501};",
671,P07914,"The direction of reaction is pH dependent in vitro. At pH 7.3, clearly the reduction reaction is preferred with an order of magnitude higher velocity than the oxidation reaction. At pH 8.7, the velocities of the oxidation and reduction reaction are comparable. At pH 9.9 the velocity of the reduction reaction is about 60% of oxidation reaction. {ECO:0000269|PubMed:23836456};",
674,P08159,Fairly stable at neutral or alkaline pH. {ECO:0000269|PubMed:4628374};,
676,P08170,Inactive below pH 6.0. {ECO:0000269|PubMed:2492826};,
689,P09038,Retains almost half of its activity after treatment at pH 2.0 for 3 hours at 20 degrees Celsius. {ECO:0000269|PubMed:1721615};,
703,P0A6D3,"Optimum pH is between 6 and 6.5. {ECO:0000269|PubMed:12430021, ECO:0000269|PubMed:16225867, ECO:0000269|PubMed:17855366, ECO:0000269|PubMed:19211556, ECO:0000269|PubMed:6229418};",
725,P0A8H3,Optimum pH is near neutral pH. {ECO:0000269|PubMed:20225068};,
730,P0A924,"Optimum pH is 6.5 for DGPP phosphatase activity and 6.5-7.5 for undecaprenyl pyrophosphate phosphatase activity. {ECO:0000269|PubMed:18411271, ECO:0000269|PubMed:8940025};",
752,P0ADA1,"Optimum pH is 7.5-8.4 (PubMed:4945109, PubMed:4554913, PubMed:12846577). Stable between pH 6.1 and 12, however, below pH 6.0, thioesterase rapidly loses activity (PubMed:4554913). {ECO:0000269|PubMed:12846577, ECO:0000269|PubMed:4554913, ECO:0000269|PubMed:4945109};",
766,P0AF12,Exhibits activity across a broad pH range. Enzyme activity is moderately improved under acidic conditions. {ECO:0000269|PubMed:8941345};,
797,P0CS93,"Optimum pH is 7. Active from pH 5.7 to 9.4. {ECO:0000269|PubMed:15047910, ECO:0000269|PubMed:15239055, ECO:0000269|PubMed:17385891, ECO:0000269|PubMed:7929198, ECO:0000269|Ref.15};",
839,P0DTQ4,"L-dopa decarboxylation occurs more rapidly at lower pH, suggesting that this metabolism is likely accelerated at the lower pH of the upper small intestine. {ECO:0000269|PubMed:31196984};",
851,P0DX29,"Optimum pH is 8.0 with p-nitrophenyl palmitate (p-NPP) as substrate (PubMed:21145735, PubMed:19806375). At pH 7 and 9 displays around 90% of relative activity (PubMed:21145735). Stable at pH range 6-9 retaining over 95% of relative activity after 24 hours (PubMed:21145735). Stable even in acidic pH of 2-4 with more than 50% of residual activity after 24 hours (PubMed:19806375). {ECO:0000269|PubMed:19806375, ECO:0000269|PubMed:21145735};",
856,P10731,Optimally active at acidic pHs. {ECO:0000269|PubMed:2059626};,
896,P14618,"Optimum pH for T3 binding is 6.0-6.5. Increase in pH causes T3 binding to drop, does not bind T3 above pH 9.0 or below pH 5.0. {ECO:0000269|PubMed:15996096, ECO:0000269|PubMed:1854723};",
901,P14916,"Optimum pH is 8.0. Active from pH 4.0 to 10.0. In unbuffered solutions, the dodecameric complex is active at pH 3.0. {ECO:0000269|PubMed:11373617, ECO:0000269|PubMed:2188975};",
919,P16303,Optimum pH for FAEE synthesis is 7.0. Optimum pH for PNPB-hydrolyzing activity is 6-8. {ECO:0000269|PubMed:1429692};,
935,P18405,Optimally active at alkaline pHs.;,
941,P19337,"The direction of reaction is pH dependent in vitro. At pH 7.3, clearly the reduction reaction is preferred with an order of magnitude higher velocity than the oxidation reaction. At pH 8.7, the velocities of the oxidation and reduction reaction are comparable. At pH 9.9 the velocity of the reduction reaction is about 60% of oxidation reaction. {ECO:0000269|PubMed:23836456};",
943,P19413,Optimum pH is between pH 6.0 and 7.0 or the hydrolysis of choloyl-CoA. No activity is detected below pH 4.0 or above pH 9.0. {ECO:0000269|PubMed:9869646};,
944,P19634,"Fully active at acidic pHs, the antiporter is virtually turned off at neutral pH. {ECO:0000305|PubMed:7110335};",
974,P22862,Optimum pH is above 9.0 for esterase activity. {ECO:0000269|PubMed:7704276};,
982,P23883,"Optimum pH is 8. Activity is highly sensitive to pH variation, and an increase or decrease of one pH unit from the optimal attenuates more than 70% of activity. At pH 6.0, only 6% of the activity remains. At pH.5.0, the activity is completely abolished. {ECO:0000269|PubMed:18668238};",
985,P24008,Optimally active at alkaline pHs.;,
992,P25306,"Threonine dehydratase 2 biosynthetic, chloroplastic: Active at alkaline pH (PubMed:21436043, PubMed:17416643). Processed threonine dehydratase 2: Optimum pH is 9. Has little or no activity at pH values below 6.0 (PubMed:17416643). {ECO:0000269|PubMed:17416643, ECO:0000269|PubMed:21436043};",
996,P25524,Activity is lost under pH 5 but not affected up to pH 10. {ECO:0000269|PubMed:21545144};,
1000,P26431,"Fully active at acidic pHs, the antiporter is virtually turned off at neutral pH. {ECO:0000305|PubMed:6334130};",
1014,P28012,"Optimum pH is 7-8.5 with 4,2',4'-trihydroxychalcone as substrate, at 25 degrees Celsius. {ECO:0000269|PubMed:10966651, ECO:0000269|PubMed:11698411, ECO:0000269|PubMed:11955065};",
1019,P28321,Active from pH 4.5 to 8. {ECO:0000269|PubMed:20554061};,
1022,P28907,"Optimum pH for NAADP(+) production is 5.0 from either substrate, activity is much higher at pH 5.0 than 7.4. {ECO:0000269|PubMed:16690024};",
1023,P29022,Active between pH 6-3. {ECO:0000269|PubMed:28328103};,
1025,P29241,"Optimum pH for NAADP(+) production is 5.0 from either 2'-phospho-cyclic ADP-ribose or NADP(+), activity is much higher at pH 5.0 than 7.4. {ECO:0000269|PubMed:16690024};",
1028,P29946,The catalytic activity is essentially constant between pH 6.8 and 8.0. {ECO:0000269|PubMed:15311923};,
1029,P30041,Shows a 3-fold greater lysophosphatidylcholine acyltransferase activity at pH 4.0 than at pH 7.0. {ECO:0000269|PubMed:26830860};,
1037,P30870,"Optimum pH is between 7.3 and 7.6 (PubMed:4893578, PubMed:4920894). The enzyme is stable between pH 4 and 9 (PubMed:4920894). {ECO:0000269|PubMed:4893578, ECO:0000269|PubMed:4920894};",
1041,P31213,Optimally active at acidic pHs.;,
1042,P31214,Optimally active at acidic pHs. {ECO:0000269|PubMed:1527072};,
1059,P32099,Most active from pH 5.5 to 8.0. Inactive below pH 4.3. {ECO:0000269|PubMed:7639702};,
1085,P33919,Optimum pH is >7.5. {ECO:0000269|PubMed:27519413};,
1087,P34125,"Optimum pH is 7.0 with 1,2-dioctanoyl-sn-glycerol as a substrate, and 7.4 with 1,2-dihexanoyl-sn-glycerol as a substrate. {ECO:0000269|PubMed:16042397, ECO:0000269|PubMed:16854454};",
1095,P36217,"Optimum pH is 4.5-5.5 (PubMed:1369024). Stable from pH 3.0 to 8.5 at room temperature and from pH 4.0 to 7.5 at 40 degrees Celsius (Ref.5). {ECO:0000269|PubMed:1369024, ECO:0000269|Ref.5};",
1096,P36218,"Optimum pH is 3.5-4.0 (PubMed:1369024). Stable from pH 2.5 to 8.5 at room temperature and from pH 2.5 to 4.5 at 40 degrees Celsius (Ref.3). {ECO:0000269|PubMed:1369024, ECO:0000269|Ref.3};",
1099,P36639,"Optimum pH is 7.8-8.2 with 8-oxo-dGTP as substrate, and 8.0-8.5 with 2-oxo-dATP as substrate. {ECO:0000269|PubMed:10373420, ECO:0000269|PubMed:11139615, ECO:0000269|PubMed:21787772};",
1100,P36649,"Optimum pH is 6.5 with 2,6-DMP as substrate (PubMed:11867755). The pH dependence of the reaction as monitored by oxygen consumption shows a broad activity peak between pH 5 and 6 and a second activity peak at pH 8 (PubMed:12794077). {ECO:0000269|PubMed:11867755, ECO:0000269|PubMed:12794077};",
1112,P37529,Optimum pH is around pH 8.6. At pH 8.0-9.6 more than 90% of maximal activity is still observed. {ECO:0000269|PubMed:6251049};,
1113,P37530,"Optimum pH is around pH 9 (with saturating concentrations of dGuo and UTP). At pH 7.5 and 11.5 more than 80% of maximal activity is still observed. At pH 6.0, 60% activity remains, whereas the enzyme is completely inactive below pH 5.6. {ECO:0000269|PubMed:11078735};",
1122,P37957,"Optimum pH is 10 (PubMed:11029590). The activity decreases strongly above pH 10.5 or below pH 6.5. The enzyme is remarkably stable at alkaline pH, showing maximum stability at pH 12 and retaining more than 65% of its activity after 24 hours at pH 13 (PubMed:8396026). {ECO:0000269|PubMed:11029590, ECO:0000269|PubMed:8396026};",
1124,P38051,"Optimum pH is between 7.5 and 8. The mutase activity decreases sharply at pH 6.5 and 9 to about 20% of that observed at the optimum pH. {ECO:0000269|PubMed:9150206, ECO:0000269|PubMed:9795253};",
1156,P39633,"Optimum pH is 7.7 and 7.3 for L-glutamate deamination and 2-oxoglutarate amination, respectively. Half-maximal activity for deamination is observed at pH 6.9 and 7.8 and that for amination is at pH 6.9 and 7.8. {ECO:0000269|PubMed:16244435, ECO:0000269|PubMed:20630473};",
1159,P39773,"Very sensitive to pH. A pH change from 8 to 6 results in greater than 30- to 200-fold decreases in its activity. However, deactivation at pH 6 is reversed by shifting the enzyme to pH 7 or 8. {ECO:0000269|PubMed:9830105};",
1192,P44046,Optimum pH is 7-9.5. Is most active at slightly alkaline pH values and exhibits a sharp decrease in its catalytic activity at low pH. The drop in LpxH activity at acidic pH is not due to enzyme instability as preincubation of the enzyme at low pH does not alter the apparent enzyme activity at the standard condition of pH 8.0. {ECO:0000269|PubMed:23897835};,
1193,P44514,"Optimum pH is 7.0 in the presence of Zn(2+). The maximal velocities are independent of pH in the alkaline region but decrease below pH 7.0. {ECO:0000269|PubMed:12962500, ECO:0000269|PubMed:16421726, ECO:0000269|PubMed:9671518};",
1197,P45563,"Optimum pH is 6.5-7.5 with guanosine as substrate. At pH higher than 7.5, there is a marked reduction in reaction rate and a steep drop at pH higher than 9. Below pH 6.5, there is a dramatic decrease in activity reaching virtually zero at pH 6.0. With xanthosine as substrate, the pH optimum is 5.8-7.2. In the reverse reaction with guanine or xanthine as substrates, the pH optimum is 6.5-8.0. The pH dependence of inosine cleavage does not vary between pH 6 and 8. Maximal activity with inosine as substrate is observed at pH 6.6. {ECO:0000269|PubMed:15808857, ECO:0000269|PubMed:3042752};",
1206,P46541,"Optimum pH is 8.0. Stable at pH 5.5-7.5. Most active at 7.3 with Pro-beta-naphthylamide (Pro-2-NNap) as the substrate. More than 85% of the activity remains between pH 6.5 and 7.5 after incubation for 15 minutes at 30 degrees Celsius and it retains 50% of the original activity after incubation at pH 7.0 and at 30 degrees Celsius for 30 minutes. 50% of the activity remains after 15 minutes preincubations at pH 8.0. {ECO:0000269|PubMed:1459939, ECO:0000269|PubMed:4030733};",
1218,P48651,Optimum pH for both PC and PE is between 7.0 and 7.5. {ECO:0000269|PubMed:19014349};,
1219,P48760,"Optimum pH is 8.2-9.5 using 500 uM folic acid (PteGlu) and 25 uM dl-5-formyltetrahydrofolate (dl-5-CHO-H(4)PteGlu) as substrates. {ECO:0000269|PubMed:11772020, ECO:0000269|PubMed:6548641};",
1231,P50457,"Optimum pH is 9 for the forward reaction which is the transfer reaction of the amino group from GABA to beta-ketoglutarate, and pH 8 for the reverse reaction. {ECO:0000269|PubMed:20639325};",
1232,P51015,Activity increases from pH 6.5 to 9. {ECO:0000269|PubMed:19476337};,
1249,P52700,"Unstable below pH 8, unless zinc is present. {ECO:0000269|PubMed:3931629};",
1258,P53379,Optimum pH is 4-7. Optimum pH is substrate-dependent. {ECO:0000269|PubMed:10446224};,
1260,P53634,High activity at pH 4.5-6.8. {ECO:0000269|PubMed:1586157};,
1267,P54317,"Optimum pH is 8.8 for triacylglycerol lipase activity, 8.5 for phospholipase activity and 8 for galactolipase activity. The enzyme activities decrease in the pH 5-7 range corresponding to the physiological conditions occurring in the small intestine. {ECO:0000269|PubMed:17401110};",
1282,P55014,Stable transporter activity from pH 6 to pH 8. {ECO:0000269|PubMed:11790783}; pH dependence: Stable transporter activity from pH 6 to pH 8. {ECO:0000269|PubMed:11790783}; pH dependence: Stable transporter activity from pH 6 to pH 8. {ECO:0000269|PubMed:11790783};,
1296,P59407,"Optimum pH is 7-7.3 in both synthetic and cleavage directions. Is active over a broad pH range, from pH 5.0 to 9.0, in both directions. Maintains 5 to 10% activity in the synthetic direction above pH 11.0. The enzyme is also stable at basic pHs, where it maintains around 80% residual synthetic activity after 15 days of incubation. {ECO:0000269|PubMed:21317263};",
1310,P63115,Active from pH 5.5 to 8.5. {ECO:0000269|PubMed:10734121};,
1313,P63235,Inactive at pH 6.5 or above. {ECO:0000269|PubMed:22407317};,
1331,P71857,Optimum pH is above 8. No activity is observed under pH 6. {ECO:0000269|PubMed:23560677};,
1343,P75959,Active from pH 6.5 to 10. {ECO:0000269|PubMed:15489439};,
1347,P76113,"Optimum pH is 5.9. The enzyme is most stable in the pH range of 4.5 to 12.0, with 90% of the initial activity being retained even at pH 12.0. {ECO:0000269|PubMed:21467222};",
1361,P77489,Stable up to a pH of 4. {ECO:0000269|PubMed:19368556};,
1362,P77544,Activity decreases as pH is lowered from neutral to acidic. {ECO:0000269|PubMed:17018556};,
1365,P77671,"Optimum pH is 7.5-8.0. The optimal activity is at pH 8.8 for zinc-containing form and pH 9.0 for cobalt-containing form. {ECO:0000269|PubMed:11092864, ECO:0000269|PubMed:12486048};",
