prot_index,ph,note,ph_dependence,uniprot_id,min_max_diff,activity,reaction_type
4326,8.8,{ECO:0000269|PubMed:25061748};,Optimum pH is 8.8. {ECO:0000269|PubMed:25061748};,A0A077EWA5,,1.0,
3010,8.0,Stable between pH 4 and 11. {ECO:0000269|Ref.1};,Optimum pH is around 8.0. Stable between pH 4 and 11. {ECO:0000269|Ref.1};,A0A077LPS9,,1.0,
3011,4.35,{ECO:0000269|PubMed:16345941};,Optimum pH is 4.35. {ECO:0000269|PubMed:16345941};,A0A095AMW7,,1.0,
11,8.0,with Mn(2+) as cofactor and 8.5 with Mg(2+) as cofactor. {ECO:0000269|PubMed:25724193};,Optimum pH is 8.0 with Mn(2+) as cofactor and 8.5 with Mg(2+) as cofactor. {ECO:0000269|PubMed:25724193};,A0A096P8D3,,1.0,
3012,6.75,{ECO:0000269|PubMed:25142187};,Optimum pH is 6.5-7.0. {ECO:0000269|PubMed:25142187};,A0A0A1H7N4,0.5,1.0,
13,6.0,{ECO:0000269|PubMed:26293748};,Optimum pH is 6.0. {ECO:0000269|PubMed:26293748};,A0A0A1H8I4,,1.0,
14,6.75,{ECO:0000269|PubMed:25142187};,Optimum pH is 6.5-7.0. {ECO:0000269|PubMed:25142187};,A0A0A1HA03,0.5,1.0,
15,7.25,at 35 degrees Celsius. {ECO:0000269|PubMed:17157960};,Optimum pH is 7-7.5 at 35 degrees Celsius. {ECO:0000269|PubMed:17157960};,A0A0B4K692,0.5,1.0,
16,8.0,{ECO:0000269|Ref.1};,Optimum pH is 8. {ECO:0000269|Ref.1};,A0A0C5CJR8,,1.0,
17,8.0,{ECO:0000269|Ref.2};,Optimum pH is 8.0. {ECO:0000269|Ref.2};,A0A0C6DRW4,,1.0,
4327,8.0,Loss of methyltransferase activity at pH 5.5 and below. {ECO:0000269|PubMed:809439};,Optimum pH is 7.5-8.5. Loss of methyltransferase activity at pH 5.5 and below. {ECO:0000269|PubMed:809439};,A0A0D4BS77,1.0,1.0,
3013,7.5,{ECO:0000269|PubMed:16466637};,Optimum pH is between 7-8. {ECO:0000269|PubMed:16466637};,A0A0E3JT70,1.0,1.0,
18,7.5,{ECO:0000269|PubMed:16466637};,Optimum pH is between 7-8. {ECO:0000269|PubMed:16466637};,A0A0E3KBH3,1.0,1.0,
19,9.75,with 4-aminobutanal as substrate. {ECO:0000269|PubMed:26296314};,Optimum pH is 9.75 with 4-aminobutanal as substrate. {ECO:0000269|PubMed:26296314};,A0A0E3T3B5,,1.0,
20,9.75,with 4-aminobutanal as substrate. {ECO:0000269|PubMed:26296314};,Optimum pH is 9.75 with 4-aminobutanal as substrate. {ECO:0000269|PubMed:26296314};,A0A0E3T552,,1.0,
3014,7.0,{ECO:0000269|PubMed:28401214};,Optimum pH is 7. {ECO:0000269|PubMed:28401214};,A0A0E4AYE7,,1.0,
21,9.5,for hemagglutinating activity. The activity is decreased by 25% at pH 6.0 and by 50% at pH 4.0. {ECO:0000269|Ref.2};,Optimum pH is 9-10 for hemagglutinating activity. The activity is decreased by 25% at pH 6.0 and by 50% at pH 4.0. {ECO:0000269|Ref.2};,A0A0G2UGT2,1.0,1.0,
22,7.65,for isoglutaminyl synthase activity. {ECO:0000269|PubMed:22291598};,Optimum pH is 7.5-7.8 for isoglutaminyl synthase activity. {ECO:0000269|PubMed:22291598};,A0A0H3JN63,0.2999999999999998,1.0,
23,7.65,for isoglutaminyl synthase activity. {ECO:0000269|PubMed:22291598};,Optimum pH is 7.5-7.8 for isoglutaminyl synthase activity. {ECO:0000269|PubMed:22291598};,A0A0H3JUU7,0.2999999999999998,1.0,
3015,7.5,{ECO:0000269|PubMed:36144368};,Optimum pH is 7.5. {ECO:0000269|PubMed:36144368};,A0A0H3KZS3,,1.0,
24,7.5,{ECO:0000269|PubMed:27218267};,Optimum pH is around 7-8. {ECO:0000269|PubMed:27218267};,A0A0H3LKL4,1.0,1.0,
3016,8.5,{ECO:0000269|PubMed:23225597};,Optimum pH is 8.5. {ECO:0000269|PubMed:23225597};,A0A0H3MFZ3,,1.0,
25,7.25,{ECO:0000269|PubMed:25997073};,Optimum pH is 7.0-7.5. {ECO:0000269|PubMed:25997073};,A0A0H5BMX5,0.5,1.0,
3017,7.5,{ECO:0000269|Ref.2};,Optimum pH is 7-8. {ECO:0000269|Ref.2};,A0A0I9QGZ2,1.0,1.0,
26,8.25,{ECO:0000269|PubMed:34644530};,Optimum pH is 7.0-9.5. {ECO:0000269|PubMed:34644530};,A0A0J5ZXG5,2.5,1.0,
27,8.4,{ECO:0000269|PubMed:18499511};,Optimum pH is 8.4. {ECO:0000269|PubMed:18499511};,A0A0K0JFP3,,1.0,
4328,9.0,{ECO:0000269|PubMed:26331569};,Optimum pH is 9.0. {ECO:0000269|PubMed:26331569};,A0A0M4KE44,,1.0,
3019,8.0,{ECO:0000269|PubMed:27564089};,Optimum pH is 8.0. {ECO:0000269|PubMed:27564089};,A0A0N9HP11,,1.0,
30,8.25,{ECO:0000269|PubMed:25875730};,Optimum pH is 8.0-8.5. {ECO:0000269|PubMed:25875730};,A0A0P0ZBS7,0.5,1.0,
3021,7.5,{ECO:0000269|PubMed:33484446};,Optimum pH is 7.5. {ECO:0000269|PubMed:33484446};,A0A0P9JFY5,,1.0,
4329,7.6,{ECO:0000269|PubMed:26496685};,Optimum pH is 7.6. {ECO:0000269|PubMed:26496685};,A0A0S1RUN4,,1.0,
3022,8.5,for oxidation and 7.0 for reduction. {ECO:0000269|PubMed:33428959};,Optimum pH is 8.5 for oxidation and 7.0 for reduction. {ECO:0000269|PubMed:33428959};,A0A0S1X9S7,,1.0,
4330,6.8,{ECO:0000269|PubMed:26496685};,Optimum pH is 6.8. {ECO:0000269|PubMed:26496685};,A0A0S2E7V8,,1.0,
4331,7.4,{ECO:0000269|PubMed:26496685};,Optimum pH is 7.4. {ECO:0000269|PubMed:26496685};,A0A0S2E7W7,,1.0,
4332,7.2,{ECO:0000269|PubMed:26496685};,Optimum pH is 7.2. {ECO:0000269|PubMed:26496685};,A0A0S2E7Z1,,1.0,
4333,7.0,for the hydrolysis of xylotriose. {ECO:0000269|PubMed:27316951};,Optimum pH is 7 for the hydrolysis of xylotriose. {ECO:0000269|PubMed:27316951};,A0A0S2UQQ5,,1.0,
4950,6.5,{ECO:0000269|PubMed:32117192};,Optimum pH is 5-8. {ECO:0000269|PubMed:32117192};,A0A0U3C9T3,3.0,1.0,
4951,6.5,{ECO:0000269|PubMed:32117192};,Optimum pH is 5-8. {ECO:0000269|PubMed:32117192};,A0A0U3DL17,3.0,1.0,
4335,8.0,"{ECO:0000269|PubMed:26763234, ECO:0000269|Ref.3};","Optimum pH is 8. {ECO:0000269|PubMed:26763234, ECO:0000269|Ref.3};",A0A0X9SHN5,,1.0,
3024,8.0,{ECO:0000269|PubMed:26763234};,Optimum pH is 8. {ECO:0000269|PubMed:26763234};,A0A109PTH9,,1.0,
3025,6.5,{ECO:0000269|PubMed:26941773};,Optimum pH is 6.5. {ECO:0000269|PubMed:26941773};,A0A140IL90,,1.0,
32,5.5,High catalytic activity is observed between pH 5.5 and 7.0. {ECO:0000269|PubMed:12639950};,Optimum pH is 5.5. High catalytic activity is observed between pH 5.5 and 7.0. {ECO:0000269|PubMed:12639950};,A0A140N5J7,,1.0,
33,4.5,{ECO:0000269|PubMed:32591529};,Optimum pH is 4-5. {ECO:0000269|PubMed:32591529};,A0A144A134,1.0,1.0,
34,7.5,(PubMed:19574214). Active at pH 5.5-7.5 (PubMed:19574214). {ECO:0000269|PubMed:19574214};,Optimum pH is 7.5 (PubMed:19574214). Active at pH 5.5-7.5 (PubMed:19574214). {ECO:0000269|PubMed:19574214};,A0A144A2H0,,1.0,
3026,3.0,Stable from pH 2 to pH 6. {ECO:0000269|PubMed:23044751};,Optimum pH is 2-4. Stable from pH 2 to pH 6. {ECO:0000269|PubMed:23044751};,A0A146F0J0,2.0,1.0,
4336,8.0,{ECO:0000269|PubMed:28207970};,Optimum pH is 8.0. {ECO:0000269|PubMed:28207970};,A0A172J2G3,,1.0,
35,4.5,{ECO:0000269|PubMed:27227328};,Optimum pH is 4.5. {ECO:0000269|PubMed:27227328};,A0A193AU77,,1.0,
36,5.0,{ECO:0000269|PubMed:27227328};,Optimum pH is 5. {ECO:0000269|PubMed:27227328};,A0A193AUF6,,1.0,
3027,6.0,{ECO:0000269|PubMed:27252378};,Optimum pH is 6. {ECO:0000269|PubMed:27252378};,A0A1A9TAK5,,1.0,
4337,7.5,{ECO:0000269|PubMed:27072286};,Optimum pH is 7.5. {ECO:0000269|PubMed:27072286};,A0A1B4XBH6,,1.0,
4339,6.0,{ECO:0000269|PubMed:27252378};,Optimum pH is 6. {ECO:0000269|PubMed:27252378};,A0A1C9II22,,1.0,
4340,7.2,{ECO:0000269|PubMed:31589919};,Optimum pH is 7.2. {ECO:0000269|PubMed:31589919};,A0A1G9FQX8,,1.0,
3030,8.0,{ECO:0000269|PubMed:27444012};,Optimum pH is 7.5-8.5. {ECO:0000269|PubMed:27444012};,A0A1J1EM40,1.0,1.0,
37,8.0,{ECO:0000269|PubMed:27901067};,Optimum pH is 8. {ECO:0000269|PubMed:27901067};,A0A1L3THR9,,1.0,
38,7.75,Is stable from pH 6.0-11.0. {ECO:0000269|PubMed:27713017};,Optimum pH is 7.5-8.0. Is stable from pH 6.0-11.0. {ECO:0000269|PubMed:27713017};,A0A1L7NQ96,0.5,1.0,
39,7.0,{ECO:0000269|PubMed:28204567};,Optimum pH is 7.0. {ECO:0000269|PubMed:28204567};,A0A1S5RW73,,1.0,
4341,7.5,{ECO:0000269|PubMed:28240554};,Optimum pH is 7.5. {ECO:0000269|PubMed:28240554};,A0A1S6PUA4,,1.0,
3031,4.0,{ECO:0000269|PubMed:29468784};,Optimum pH is 4.0. {ECO:0000269|PubMed:29468784};,A0A1S7IUL2,,1.0,
40,9.0,for oxidation of Fe(2+). {ECO:0000269|PubMed:24097349};,Optimum pH is 9.0 for oxidation of Fe(2+). {ECO:0000269|PubMed:24097349};,A0A1S7LCW6,,1.0,
41,9.4,{ECO:0000269|PubMed:363427};,Optimum pH is 9.4. {ECO:0000269|PubMed:363427};,A0A1U8QNG8,,1.0,
3032,8.0,{ECO:0000269|PubMed:29038259};,Optimum pH is 8.0. {ECO:0000269|PubMed:29038259};,A0A1V0ELS9,,1.0,
3033,7.0,{ECO:0000269|PubMed:28394400};,Optimum pH is 6.5-7.5. {ECO:0000269|PubMed:28394400};,A0A1V1FH01,1.0,1.0,
4952,9.0,{ECO:0000269|PubMed:28374790};,Optimum pH is 9.0. {ECO:0000269|PubMed:28374790};,A0A1W5X0D5,,1.0,
3034,8.5,with Fe(3+)-nitrilotriacetic acid (NTA) as electron acceptor. {ECO:0000269|PubMed:32681432};,Optimum pH is 8.5 with Fe(3+)-nitrilotriacetic acid (NTA) as electron acceptor. {ECO:0000269|PubMed:32681432};,A0A1W7HCY1,,1.0,
4342,9.0,Exhibits antiport activity at a wide pH range of 6.5 to 9.5. {ECO:0000269|PubMed:28652569};,Optimum pH is 9.0. Exhibits antiport activity at a wide pH range of 6.5 to 9.5. {ECO:0000269|PubMed:28652569};,A0A1X9QDU4,,1.0,
4343,9.0,Exhibits antiport activity at a wide pH range of 6.5 to 9.5. {ECO:0000269|PubMed:28652569};,Optimum pH is 9.0. Exhibits antiport activity at a wide pH range of 6.5 to 9.5. {ECO:0000269|PubMed:28652569};,A0A1X9QDU5,,1.0,
4344,9.5,{ECO:0000269|PubMed:28370711};,Optimum pH is 8.0-11.0. {ECO:0000269|PubMed:28370711};,A0A224AKZ9,3.0,1.0,
3036,9.5,{ECO:0000269|PubMed:28370711};,Optimum pH is 8.0-11.0. {ECO:0000269|PubMed:28370711};,A0A224AM54,3.0,1.0,
3037,8.5,(with palmitate as substrate). {ECO:0000269|PubMed:28860382};,Optimum pH is 8.5 (with palmitate as substrate). {ECO:0000269|PubMed:28860382};,A0A248QE08,,1.0,
3039,7.0,{ECO:0000269|Ref.2};,Optimum pH is 7.0. {ECO:0000269|Ref.2};,A0A2I9,,1.0,
42,6.5,{ECO:0000269|PubMed:33172891};,Optimum pH is 6.5. {ECO:0000269|PubMed:33172891};,A0A2N6JFX7,,1.0,
3040,7.8,{ECO:0000269|PubMed:30802241};,Optimum pH is 7.8. {ECO:0000269|PubMed:30802241};,A0A2P1BT06,,1.0,
43,8.0,{ECO:0000269|PubMed:29900074};,Optimum pH is 8.0. {ECO:0000269|PubMed:29900074};,A0A2U8QPE6,,1.0,
44,8.0,{ECO:0000269|PubMed:29807982};,Optimum pH is 8. {ECO:0000269|PubMed:29807982};,A0A2U9GGW3,,1.0,
45,6.0,{ECO:0000269|PubMed:27133313};,Optimum pH is 5-7. {ECO:0000269|PubMed:27133313};,A0A336U966,2.0,1.0,
3041,6.6,Activity is completely abolished above pH 8.6. {ECO:0000269|PubMed:33561520};,Optimum pH is 6.6. Activity is completely abolished above pH 8.6. {ECO:0000269|PubMed:33561520};,A0A3D9VCI6,,1.0,
4345,4.0,{ECO:0000269|PubMed:30526483};,Optimum pH is 4. {ECO:0000269|PubMed:30526483};,A0A3G5BB24,,1.0,
4346,8.0,{ECO:0000269|PubMed:30478037};,Optimum pH is 8.0. {ECO:0000269|PubMed:30478037};,A0A3G9JYH7,,1.0,
4347,5.5,with larch arabinogalactan as substrate. {ECO:0000269|PubMed:30564851};,Optimum pH is 5.5 with larch arabinogalactan as substrate. {ECO:0000269|PubMed:30564851};,A0A3R0A696,,1.0,
4348,4.5,"with beta-1,6-Gal3 as substrate. {ECO:0000269|PubMed:30564851};","Optimum pH is 4.5 with beta-1,6-Gal3 as substrate. {ECO:0000269|PubMed:30564851};",A0A401ETL2,,1.0,
47,8.0,{ECO:0000269|PubMed:28063838};,Optimum pH is 8.0. {ECO:0000269|PubMed:28063838};,A0A411EZW9,,1.0,
3042,7.0,{ECO:0000269|PubMed:9607329};,Optimum pH is 7. {ECO:0000269|PubMed:9607329};,A0A455ZJC3,,1.0,
49,7.5,{ECO:0000269|PubMed:30934718};,Optimum pH is 7.5. {ECO:0000269|PubMed:30934718};,A0A4P8DY91,,1.0,
3043,8.5,{ECO:0000269|PubMed:13863458};,Optimum pH is 8-9. {ECO:0000269|PubMed:13863458};,A0A5F8AH41,1.0,1.0,
4953,6.0,{ECO:0000269|PubMed:31849905};,Optimum pH is 6.0. {ECO:0000269|PubMed:31849905};,A0A5P1KKQ4,,1.0,
51,7.5,{ECO:0000269|PubMed:20615418};,Optimum pH is 7.5. {ECO:0000269|PubMed:20615418};,A0A6M7H989,,1.0,
3045,8.0,{ECO:0000269|PubMed:33737179};,Optimum pH is 8.0. {ECO:0000269|PubMed:33737179};,A0A7R7ZDZ6,,1.0,
3046,5.0,{ECO:0000269|PubMed:33676982};,Optimum pH is 5.0. {ECO:0000269|PubMed:33676982};,A0A7T1FRB0,,1.0,
52,6.0,for hydrolysis of alpha-cyclodextrin. {ECO:0000269|PubMed:31212108};,Optimum pH is 6.0 for hydrolysis of alpha-cyclodextrin. {ECO:0000269|PubMed:31212108};,A0A7U9P668,,1.0,
3047,6.0,(PubMed:33968593). Is relatively stable between pH 5.0 and 11.0 (PubMed:33968593). {ECO:0000269|PubMed:33968593};,Optimum pH is 6.0 (PubMed:33968593). Is relatively stable between pH 5.0 and 11.0 (PubMed:33968593). {ECO:0000269|PubMed:33968593};,A0A8A1G1R1,,1.0,
3048,8.5,{ECO:0000269|PubMed:33810599};,Optimum pH is 8.5. {ECO:0000269|PubMed:33810599};,A0A8B0RBM2,,1.0,
3049,8.5,with bis(pNPP) as substrate. {ECO:0000269|PubMed:33758739};,Optimum pH is 8.5 with bis(pNPP) as substrate. {ECO:0000269|PubMed:33758739};,A0A8F4N283,,1.0,
3050,4.5,(PubMed:34022308). Has an extremely wide pH stability range (4.0-13.0) (PubMed:34022308). {ECO:0000269|PubMed:34022308};,Optimum pH is 4.5 (PubMed:34022308). Has an extremely wide pH stability range (4.0-13.0) (PubMed:34022308). {ECO:0000269|PubMed:34022308};,A0A8G1A3Q5,,1.0,
53,8.5,(at 37 degrees Celsius). {ECO:0000269|PubMed:17977854};,Optimum pH is 8.5 (at 37 degrees Celsius). {ECO:0000269|PubMed:17977854};,A0A8V1ABE9,,1.0,
3051,7.5,{ECO:0000269|PubMed:35671807};,Optimum pH is 7.5. {ECO:0000269|PubMed:35671807};,A0A8X8M505,,1.0,
3052,8.5,{ECO:0000269|PubMed:17003031};,Optimum pH is 6.5-10.5. {ECO:0000269|PubMed:17003031};,A0JC76,4.0,1.0,
4349,8.25,{ECO:0000269|PubMed:17003031};,Optimum pH is 6.5-10.0. {ECO:0000269|PubMed:17003031};,A0JC77,3.5,1.0,
3053,8.5,with oxaloacetate as substrate. {ECO:0000269|PubMed:8900056};,Optimum pH is 8.5 with oxaloacetate as substrate. {ECO:0000269|PubMed:8900056};,A0LFF8,,1.0,
55,5.5,{ECO:0000269|PubMed:26576949};,Optimum pH is 5.5. {ECO:0000269|PubMed:26576949};,A0MQA3,,1.0,
56,10.0,{ECO:0000269|PubMed:17064315};,Optimum pH is 10. {ECO:0000269|PubMed:17064315};,A0MTQ2,,1.0,
3054,6.0,{ECO:0000269|PubMed:17090949};,Optimum pH is 6.0. {ECO:0000269|PubMed:17090949};,A0P8X0,,1.0,
3055,7.8,{ECO:0000269|PubMed:21318289};,Optimum pH is 7.8. {ECO:0000269|PubMed:21318289};,A0PDV5,,1.0,
3056,8.0,"Highly stable from pH 6.5 to 9.0, and still shows a residual activity of 50% after 1 hour of incubation at pH 4.0. {ECO:0000269|PubMed:20601476};","Optimum pH is 8. Highly stable from pH 6.5 to 9.0, and still shows a residual activity of 50% after 1 hour of incubation at pH 4.0. {ECO:0000269|PubMed:20601476};",A0QNZ7,,1.0,
3057,10.0,and 11 for the oxidative deamination and between 7 and 7.5 for the reductive amination. {ECO:0000269|PubMed:9785446};,Optimum pH is between 10 and 11 for the oxidative deamination and between 7 and 7.5 for the reductive amination. {ECO:0000269|PubMed:9785446};,A0QVQ8,,1.0,
58,7.6,{ECO:0000269|PubMed:35338694};,Optimum pH is 7.4-7.8. {ECO:0000269|PubMed:35338694};,A0QYE8,0.39999999999999947,1.0,
3058,7.1,"The trehalase activity drops sharply at pH values of 6.5 and below, as well as at pH values of 8.0 and above. {ECO:0000269|PubMed:17319935};","Optimum pH is 7.1. The trehalase activity drops sharply at pH values of 6.5 and below, as well as at pH values of 8.0 and above. {ECO:0000269|PubMed:17319935};",A0R0W9,,1.0,
3059,8.5,{ECO:0000269|PubMed:19019160};,Optimum pH is 8.5. {ECO:0000269|PubMed:19019160};,A0R1C2,,1.0,
59,8.0,{ECO:0000269|PubMed:18221489};,Optimum pH is 8. {ECO:0000269|PubMed:18221489};,A0R2E6,,1.0,
3060,8.0,{ECO:0000269|PubMed:10978158};,Optimum pH is 7-9. {ECO:0000269|PubMed:10978158};,A0R2W9,2.0,1.0,
60,7.0,{ECO:0000269|Ref.4};,Optimum pH is 7. {ECO:0000269|Ref.4};,A0R4M9,,1.0,
61,7.5,{ECO:0000269|PubMed:23364516};,Optimum pH is 7.5. {ECO:0000269|PubMed:23364516};,A0R618,,1.0,
62,7.5,to 9.0. {ECO:0000269|PubMed:20624223};,Optimum pH is 7.5 to 9.0. {ECO:0000269|PubMed:20624223};,A0R6D0,,1.0,
63,6.1,"for the amylase activity and 7.0 for the trehalose synthase activity. {ECO:0000269|PubMed:15511231, ECO:0000269|PubMed:18505459};","Optimum pH is between 6.0-6.2 for the amylase activity and 7.0 for the trehalose synthase activity. {ECO:0000269|PubMed:15511231, ECO:0000269|PubMed:18505459};",A0R6E0,0.20000000000000018,1.0,
3061,6.25,"for the phosphorolysis of sucrose. {ECO:0000269|PubMed:14740189, ECO:0000269|PubMed:20691225};","Optimum pH is 6.0-6.5 for the phosphorolysis of sucrose. {ECO:0000269|PubMed:14740189, ECO:0000269|PubMed:20691225};",A0ZZH6,0.5,1.0,
4954,6.0,Stable between pH 4.0 and 10.0 for 120 minutes. {ECO:0000269|PubMed:17586675};,Optimum pH is 6.0. Stable between pH 4.0 and 10.0 for 120 minutes. {ECO:0000269|PubMed:17586675};,A1A048,,1.0,
64,5.3,Retains over 90% of its activity in the pH range of 5 to 6. {ECO:0000269|PubMed:23064345};,Optimum pH is 5.3. Retains over 90% of its activity in the pH range of 5 to 6. {ECO:0000269|PubMed:23064345};,A1A278,,1.0,
3062,7.0,with ONPG as substrate. Retains 60% of its activity between pH 6.0 and 8.0. {ECO:0000269|PubMed:33427933};,Optimum pH is 7.0 with ONPG as substrate. Retains 60% of its activity between pH 6.0 and 8.0. {ECO:0000269|PubMed:33427933};,A1A3T0,,1.0,
3063,8.5,"Active between pH 4.5 and 9.5, stable between pH 6.5 and 10.5. {ECO:0000269|PubMed:15902469, ECO:0000269|PubMed:17177517};","Optimum pH is 8.5. Active between pH 4.5 and 9.5, stable between pH 6.5 and 10.5. {ECO:0000269|PubMed:15902469, ECO:0000269|PubMed:17177517};",A1IGV8,,1.0,
3064,8.0,"{ECO:0000269|PubMed:16989822, ECO:0000269|PubMed:20400515};","Optimum pH is 8.0. {ECO:0000269|PubMed:16989822, ECO:0000269|PubMed:20400515};",A1JHN0,,1.0,
3065,10.0,{ECO:0000269|PubMed:17487443};,Optimum pH is 10.0. {ECO:0000269|PubMed:17487443};,A1RS58,,1.0,
3066,7.5,Half of activity at pH 6.5 and 8.5. {ECO:0000269|PubMed:11823469};,Optimum pH is 7.5. Half of activity at pH 6.5 and 8.5. {ECO:0000269|PubMed:11823469};,A1RVM8,,1.0,
67,9.5,{ECO:0000269|PubMed:17139450};,Optimum pH is 9.5. {ECO:0000269|PubMed:17139450};,A1XLE2,,1.0,
4350,5.0,{ECO:0000269|PubMed:18072936};,Optimum pH is 5.0. {ECO:0000269|PubMed:18072936};,A1XP58,,1.0,
68,6.0,"Larger substrate spectrum at pH 7.5, with a lower activity, thought. {ECO:0000269|PubMed:17241449};","Optimum pH is 6. Larger substrate spectrum at pH 7.5, with a lower activity, thought. {ECO:0000269|PubMed:17241449};",A1XWY7,,1.0,
69,9.0,{ECO:0000269|PubMed:18641147};,Optimum pH is 9.0. {ECO:0000269|PubMed:18641147};,A1YYW7,,1.0,
70,8.5,{ECO:0000269|PubMed:18086666};,Optimum pH is 8.5. {ECO:0000269|PubMed:18086666};,A2AJ88,,1.0,
3067,8.0,{ECO:0000269|PubMed:23546841};,Optimum pH is 8.0. {ECO:0000269|PubMed:23546841};,A2BJX6,,1.0,
71,9.4,"Active from pH 7 to pH 11. {ECO:0000269|PubMed:16321042, ECO:0000269|PubMed:19674460, ECO:0000269|PubMed:20414651};","Optimum pH is 9.4. Active from pH 7 to pH 11. {ECO:0000269|PubMed:16321042, ECO:0000269|PubMed:19674460, ECO:0000269|PubMed:20414651};",A2QAC0,,1.0,
4351,3.5,{ECO:0000269|PubMed:18377882};,Optimum pH is 3.0-4.0. {ECO:0000269|PubMed:18377882};,A2QEQ6,1.0,1.0,
3068,3.5,{ECO:0000269|PubMed:22033931};,Optimum pH is 3.0-4.0. {ECO:0000269|PubMed:22033931};,A2QTU5,1.0,1.0,
72,6.0,{ECO:0000269|PubMed:24947135};,Optimum pH is 6. {ECO:0000269|PubMed:24947135};,A2R2V4,,1.0,
3069,5.0,{ECO:0000269|PubMed:21632240};,Optimum pH is 5.0. {ECO:0000269|PubMed:21632240};,A2R6F5,,1.0,
3070,8.25,{ECO:0000269|PubMed:21892598};,Optimum pH is 7.0-9.5. {ECO:0000269|PubMed:21892598};,A2R6M7,2.5,1.0,
3071,7.5,"Below pH 6.0 the enzyme is reversibly inactivated, above pH 10.0 the enzyme is irreversibly inactivated. {ECO:0000269|Ref.3};","Optimum pH is 6.0-9.0. Below pH 6.0 the enzyme is reversibly inactivated, above pH 10.0 the enzyme is irreversibly inactivated. {ECO:0000269|Ref.3};",A2RIB7,3.0,1.0,
73,8.75,{ECO:0000269|PubMed:19013210};,Optimum pH is 7.0-10.5. {ECO:0000269|PubMed:19013210};,A2TK72,3.5,1.0,
74,8.0,"{ECO:0000269|PubMed:15218073, ECO:0000269|PubMed:16249471};","Optimum pH is 8.0. {ECO:0000269|PubMed:15218073, ECO:0000269|PubMed:16249471};",A2VCW5,,1.0,
75,6.0,{ECO:0000269|PubMed:29176862};,Optimum pH is 6.0. {ECO:0000269|PubMed:29176862};,A2XDA1,,1.0,
3072,7.75,"at 20 degrees Celsius, and 8.0-8.5 at 25 degrees Celsius in the presence of NAD(+). {ECO:0000269|PubMed:16413588};","Optimum pH is 7.5-8.0 at 20 degrees Celsius, and 8.0-8.5 at 25 degrees Celsius in the presence of NAD(+). {ECO:0000269|PubMed:16413588};",A3C4S4,0.5,1.0,
