,ec_num,ph_min,ph_max,comments,organism,uniprot_id,ref,substrates,products,notes,reaction_type,substrates_rev,condition,to_fix,notes.1,subst_str,rxn_type_guess,all_substrates,name
836,1.6.3.3,4.4,8.4,"pH 4.4: about 70% of maximal activity, pH 8.4: about 90% of maximal activity",Archaeoglobus fulgidus,O29852,722505,NADH + H+ + O2,NAD+ + H2O2,,,,,,,NADH + H+ + O2,oxidation_or_reduction,"{'NADH', 'H+', 'O2'}",NADH oxidase (H2O2-forming)
840,1.6.3.3,6,9.5,"pH 6.0: about 60% of maximal activity, pH 9.5: about 60% of maximal activity",Pyrococcus horikoshii,O58049,721957,beta-NADH + H+ + O2,beta-NAD+ + H2O2,,,,,,,beta-NADH + H+ + O2,oxidation,"{'O2', 'H+', 'beta-NADH'}",NADH oxidase (H2O2-forming)
4314,1.7.1.7,6,9,"pH 6: about 50% of activity at maximum, pH 9: about 70% of activity at maximum",Homo sapiens,P36959,394290,NADPH + guanosine 5'-phosphate,NADP+ + inosine 5'-phosphate + NH3,,,,,,,NADPH + guanosine 5'-phosphate,reduction,"{""guanosine 5'-phosphate"", 'NADPH'}",GMP reductase
6408,1.2.7.3,7,9.7,"pH 7.0: about 45% of maximal activity, pH 9.7: about 65% of maximal activity, recombinant For",Hydrogenobacter thermophilus,D3DIA0,649630,2-oxoglutarate + CoA + oxidized ferredoxin,succinyl-CoA + CO2 + reduced ferredoxin,,,,,,,2-oxoglutarate + CoA + oxidized ferredoxin,not_found,"{'CoA', 'oxidized ferredoxin', '2-oxoglutarate'}",2-oxoglutarate synthase
703,1.2.7.3,7,9.7,"pH 7.0: about 45% of maximal activity, pH 9.7: about 65% of maximal activity, recombinant For",Hydrogenobacter thermophilus,D3DIA1,649630,2-oxoglutarate + CoA + oxidized ferredoxin,succinyl-CoA + CO2 + reduced ferredoxin,,,,,,,2-oxoglutarate + CoA + oxidized ferredoxin,not_found,"{'CoA', 'oxidized ferredoxin', '2-oxoglutarate'}",2-oxoglutarate synthase
6406,1.2.7.3,7,9.7,"pH 7.0: about 45% of maximal activity, pH 9.7: about 65% of maximal activity, recombinant For",Hydrogenobacter thermophilus,D3DIA2,649630,2-oxoglutarate + CoA + oxidized ferredoxin,succinyl-CoA + CO2 + reduced ferredoxin,,,,,,,2-oxoglutarate + CoA + oxidized ferredoxin,not_found,"{'CoA', 'oxidized ferredoxin', '2-oxoglutarate'}",2-oxoglutarate synthase
6407,1.2.7.3,7,9.7,"pH 7.0: about 45% of maximal activity, pH 9.7: about 65% of maximal activity, recombinant For",Hydrogenobacter thermophilus,D3DIA3,649630,2-oxoglutarate + CoA + oxidized ferredoxin,succinyl-CoA + CO2 + reduced ferredoxin,,,,,,,2-oxoglutarate + CoA + oxidized ferredoxin,not_found,"{'CoA', 'oxidized ferredoxin', '2-oxoglutarate'}",2-oxoglutarate synthase
6409,1.2.7.3,7,9.7,"pH 7.0: about 45% of maximal activity, pH 9.7: about 65% of maximal activity, recombinant For",Hydrogenobacter thermophilus,Q93RA0,649630,2-oxoglutarate + CoA + oxidized ferredoxin,succinyl-CoA + CO2 + reduced ferredoxin,,,,,,,2-oxoglutarate + CoA + oxidized ferredoxin,not_found,"{'CoA', 'oxidized ferredoxin', '2-oxoglutarate'}",2-oxoglutarate synthase
6410,1.2.7.3,7,9.7,"pH 7.0: about 45% of maximal activity, pH 9.7: about 65% of maximal activity, recombinant For",Hydrogenobacter thermophilus,Q9AJL9,649630,2-oxoglutarate + CoA + oxidized ferredoxin,succinyl-CoA + CO2 + reduced ferredoxin,,,,,,,2-oxoglutarate + CoA + oxidized ferredoxin,not_found,"{'CoA', 'oxidized ferredoxin', '2-oxoglutarate'}",2-oxoglutarate synthase
704,1.2.7.3,7,9.7,"pH 7.0: about 45% of maximal activity, pH 9.7: about 65% of maximal activity, recombinant For",Hydrogenobacter thermophilus,Q9AJM0,649630,2-oxoglutarate + CoA + oxidized ferredoxin,succinyl-CoA + CO2 + reduced ferredoxin,,,,,,,2-oxoglutarate + CoA + oxidized ferredoxin,not_found,"{'CoA', 'oxidized ferredoxin', '2-oxoglutarate'}",2-oxoglutarate synthase
4160,1.2.7.4,8,-,about 60% of activity at pH 9.0,Moorella thermoacetica,P27989,654754,CO + H2O + acceptor,CO2 + reduced acceptor,,,,,,,CO + H2O + acceptor,oxidation,"{'H2O', 'CO', 'acceptor'}",anaerobic carbon-monoxide dehydrogenase
713,1.20.4.4,7,9.5,ArsC arsenate reductase activity is decreased >80% at pH 6.3 but is stable in the pH range 7.0-9.5,Staphylococcus aureus subsp. aureus RN4220,P0A006,706565,arsenate + thioredoxin,arsenite + thioredoxin disulfide + H2O,,,,,,,arsenate + thioredoxin,not_found,"{'arsenate', 'thioredoxin'}",arsenate reductase (thioredoxin)
4144,1.2.1.77,6.2,8.8,50% of maximal activity at pH 6.2 and pH 8.8,Aromatoleum evansii,Q84HH8,698572,"3,4-dehydroadipyl-CoA semialdehyde + NADP+ + H2O","3,4-dehydroadipyl-CoA + NADPH + H+",,,,,,,"3,4-dehydroadipyl-CoA semialdehyde + NADP+ + H2O",oxidation,"{'NADP+', 'H2O', '3,4-dehydroadipyl-CoA semialdehyde'}","3,4-dehydroadipyl-CoA semialdehyde dehydrogenase (NADP+)"
4148,1.2.1.9,6.8,8.5,"at pH 6.8: 19% of maximal activity, at pH 8.5: 92% of maximal activity",Streptococcus mutans,Q59931,288343,D-glyceraldehyde 3-phosphate + NADP+ + H2O,3-phospho-D-glycerate + NADPH + 2 H+,,,,,,,D-glyceraldehyde 3-phosphate + NADP+ + H2O,oxidation,"{'D-glyceraldehyde 3-phosphate', 'H2O', 'NADP+'}",glyceraldehyde-3-phosphate dehydrogenase (NADP+)
690,1.2.1.92,6,12,"the enzyme shows over 90% of its maximum within a small pH range from 8.0 to 11.0 and more than 60% activity between pH 6.0 and 12.0. At pH values lower than 5.0, activity of the enzyme is drastically reduced",Vibrio sp. EJY3,H2IFE7,762876,"3,6-anhydro-alpha-L-galactopyranose + NADP+ + H2O","3,6-anhydro-L-galactonate + NADPH + H+",,,,,,,"3,6-anhydro-alpha-L-galactopyranose + NADP+ + H2O",oxidation,"{'NADP+', 'H2O', '3,6-anhydro-alpha-L-galactopyranose'}","3,6-anhydro-alpha-L-galactose dehydrogenase"
697,1.2.3.4,3.5,5.5,"about 57% activity at pH 3.5, 100% activity at pH 4.0, about 82% activity at pH 4.5, about 60% activity at pH 5.0, about 27% activity at pH 5.5",Gelatoporia subvermispora,Q5ZH56,724114,oxalate + O2 + 2 H+,CO2 + 2 H2O2,,,,,,,oxalate + O2 + 2 H+,oxidation,"{'H+', 'oxalate', 'O2'}",oxalate oxidase
4205,1.3.3.14,3.8,7,"pH 3.8: about 40% of maximal activity, pH 7.0: about 65% of maximal activity",Streptomyces galilaeus,Q0PCD7,722462,aclacinomycin A + O2,aclacinomycin Y + H2O2,,,,,,,aclacinomycin A + O2,oxidation,"{'aclacinomycin A', 'O2'}",aclacinomycin-A oxidase
721,1.3.1.12,6,8.5,more than 75% of maximum activity within,uncultured bacterium,J9XQS6,723959,prephenate + NAD+,4-hydroxyphenylpyruvate + NADH + H+ + CO2,,,,,,,prephenate + NAD+,oxidation,"{'NAD+', 'prephenate'}",prephenate dehydrogenase
722,1.3.1.12,8,-,50% of maximum activity,Streptococcus mutans,Q8DUW0,726409,prephenate + NAD+,4-hydroxyphenylpyruvate + NADH + H+ + CO2,,,,,,,prephenate + NAD+,oxidation,"{'NAD+', 'prephenate'}",prephenate dehydrogenase
4180,1.3.1.3,5.2,8,about 50% of activity maximum at pH 5.2 and 8,Rattus norvegicus,P31210,390647,cortisone + NADPH + H+,"5beta-17,21dihydroxy-pregnan-3,11,20-trione + NADP+",,,,,,,cortisone + NADPH + H+,reduction,"{'cortisone', 'H+', 'NADPH'}",DELTA4-3-oxosteroid 5beta-reductase
4198,1.3.1.75,5.5,8.5,"about half-maximal activity at pH 5.5 and pH 8.5, no activity below pH 5.2 and above pH 11.0",Cucumis sativus,J9RYI6,639380,"2,4-divinyl chlorophyllide a + NADPH + H+",2-vinyl-4-ethyl chlorophyllide a + NADP+,,,,,,,"2,4-divinyl chlorophyllide a + NADPH + H+",reduction,"{'2,4-divinyl chlorophyllide a', 'H+', 'NADPH'}","3,8-divinyl protochlorophyllide a 8-vinyl-reductase (NADPH)"
4315,1.7.1.7,6,9,"pH 6: about 50% of activity at maximum, pH 9: about 70% of activity at maximum",Homo sapiens,Q9P2T1,394290,NADPH + guanosine 5'-phosphate,NADP+ + inosine 5'-phosphate + NH3,,,,,,,NADPH + guanosine 5'-phosphate,reduction,"{""guanosine 5'-phosphate"", 'NADPH'}",GMP reductase
4325,1.7.3.3,8,10.2,"pH 8.0: about 35% of activity maximum, pH 10.2: about 55% of activity maximum",Glycine max,O04104,394141,urate + O2 + H2O,5-hydroxyisourate + H2O2,,,,,,,urate + O2 + H2O,oxidation,"{'H2O', 'O2', 'urate'}",factor-independent urate hydroxylase
4358,1.9.6.1,7,9.5,"pH 7.0: about 70% of maximal activity, pH 9.5: about 60% of maximal activity",Paracoccus pantotrophus,Q56350,697696,nitrate + reduced methyl viologen,nitrite + oxidized methyl viologen + H2O,,,,,,,nitrate + reduced methyl viologen,not_found,"{'reduced methyl viologen', 'nitrate'}",nitrate reductase (cytochrome)
893,1.8.5.1,6.5,8,more than 50% activity between pH 6.5 and 8.0,Cenchrus americanus,U5XYA0,743461,glutathione + dehydroascorbate,glutathione disulfide + ascorbate,,,,,,,glutathione + dehydroascorbate,not_found,"{'dehydroascorbate', 'glutathione'}",glutathione dehydrogenase (ascorbate)
889,1.8.5.1,5.5,10,the enzyme almost completely loses its activity below pH 5.5 or above pH 10.0,Arabidopsis thaliana,Q9FWR4,743598,glutathione + dehydroascorbate,glutathione disulfide + ascorbate,,,,,,,glutathione + dehydroascorbate,not_found,"{'dehydroascorbate', 'glutathione'}",glutathione dehydrogenase (ascorbate)
4324,1.7.3.3,8,10.2,"pH 8.0: about 35% of activity maximum, pH 10.2: about 55% of activity maximum",Glycine max,P04670,394141,urate + O2 + H2O,5-hydroxyisourate + H2O2,,,,,,,urate + O2 + H2O,oxidation,"{'H2O', 'O2', 'urate'}",factor-independent urate hydroxylase
870,1.7.3.3,7,11,more than 50% activity between pH 7.0 and 11.0,Latimeria menadoensis,U4KJC3,764897,urate + O2 + H2O,allantoin + H2O2,,,,,,,urate + O2 + H2O,oxidation,"{'H2O', 'O2', 'urate'}",factor-independent urate hydroxylase
4328,1.7.7.1,6.8,8.3,"pH 6.8: about 75% of activity maximum, pH 8.3: about 70% of activity maximum",Spinacia oleracea,P05314,394414,nitrite + reduced ferredoxin,ammonia + oxidized ferredoxin,,,,,,,nitrite + reduced ferredoxin,not_found,"{'reduced ferredoxin', 'nitrite'}",ferredoxin-nitrite reductase
4336,1.8.1.7,6.3,9.6,at pH 6.3-9.6 about 50% of activity maximum,Oryza sativa,P48642,394754,GSSG + NADPH,glutathione + NADP+,,,,,,,GSSG + NADPH,reduction,"{'GSSG', 'NADPH'}",glutathione-disulfide reductase
876,1.8.1.7,6.5,8,"pH 6.5: about 50% of maximal activity, pH 8.0: about 55% of maximal activity",Sphingomonas sp.,WP_010214957,764686,glutathione disulfide + NADPH + H+,2 glutathione + NADP+,,,,,,,glutathione disulfide + NADPH + H+,reduction,"{'NADPH', 'H+', 'glutathione disulfide'}",glutathione-disulfide reductase
879,1.8.2.1,8,10,less than 50% of maximal activity above and below,Starkeya novella,Q9LA16,722663,sulfite + ferricytochrome c + H2O,sulfate + ferrocytochrome c + H+,,,,,,,sulfite + ferricytochrome c + H2O,oxidation,"{'sulfite', 'H2O', 'ferricytochrome c'}",sulfite dehydrogenase (cytochrome)
880,1.8.2.2,6.8,-,no residual activity,Allochromatium vinosum,D3RVD4,724861,2 thiosulfate + 2 ferricyanide,tetrathionate + 2 ferrocyanide,,,,,,,2 thiosulfate + 2 ferricyanide,not_found,"{'ferricyanide', 'thiosulfate'}",thiosulfate dehydrogenase
239,1.1.1.9,6.5,9,"over 50% of maximal activity within this range, profile overview",Torulaspora delbrueckii,A0A3S7PMC4,761562,xylitol + NAD+,D-xylulose + NADH + H+,,,,,,,xylitol + NAD+,oxidation,"{'NAD+', 'xylitol'}",D-xylulose reductase
237,1.1.1.9,5.5,9,"over 50% of maximal activity within this range, profile overview",Scheffersomyces stipitis,P22144,761562,xylitol + NAD+,D-xylulose + NADH + H+,,,,,,,xylitol + NAD+,oxidation,"{'NAD+', 'xylitol'}",D-xylulose reductase
242,1.1.1.95,4,9,"pH 4.0: about 82% of maximal activity, pH 9.0: about 80% of maximal activity",Bombyx mori,H9JRZ9,762680,3-phosphooxypyruvate + NADH + H+,3-phospho-D-glycerate + NAD+,,,,,,,3-phosphooxypyruvate + NADH + H+,reduction,"{'NADH', '3-phosphooxypyruvate', 'H+'}",phosphoglycerate dehydrogenase
244,1.1.1.95,7.5,9.5,activity is relatively constant between pH 7.5-9.5. Above pH 9.5 and below pH 7.5 activity falls off rapidly,Mycobacterium tuberculosis,P9WNX3,687625,3-phosphohydroxypyruvate + NAD+,?,,,,,,,3-phosphohydroxypyruvate + NAD+,oxidation,"{'3-phosphohydroxypyruvate', 'NAD+'}",phosphoglycerate dehydrogenase
277,1.1.3.4,5,10,"pH 5.0: about 60% of maximal activity, pH 10.0: about 40% of maximal activity, recombinant wild-type enzyme",Cladosporium neopsychrotolerans,A0A5Q2UVJ5,763051,beta-D-glucose + O2,"D-glucono-1,5-lactone + H2O2",,,,,,,beta-D-glucose + O2,oxidation,"{'O2', 'beta-D-glucose'}",glucose oxidase
276,1.1.3.4,4,8,"more than 88% of the maximum activity is observed between pH 4.0 and 8.0, outside this range the activity decreases dramatically",Aspergillus niger,P13006,695717,beta-D-glucose + O2 + H2O,"D-glucono-1,5-lactone + H2O2",,,,,,,beta-D-glucose + O2 + H2O,oxidation,"{'H2O', 'O2', 'beta-D-glucose'}",glucose oxidase
238,1.1.1.9,6,9,"over 50% of maximal activity within this range, profile overview",Pichia kudriavzevii,A0A3S7PMB5,761562,xylitol + NAD+,D-xylulose + NADH + H+,,,,,,,xylitol + NAD+,oxidation,"{'NAD+', 'xylitol'}",D-xylulose reductase
3886,1.1.1.8,6.5,8.2,"about half-maximal activity at pH 6.5 and 8.2, reduction of dihydroxyacetone phosphate",Rattus norvegicus,O35077,287336,sn-glycerol 3-phosphate + NAD+,dihydroxyacetone phosphate + NADH + H+,,,,,,,sn-glycerol 3-phosphate + NAD+,oxidation,"{'NAD+', 'sn-glycerol 3-phosphate'}",glycerol-3-phosphate dehydrogenase (NAD+)
191,1.1.1.42,5.8,7.5,three-fold reduction in activity when the pH is shifted from the pH-optimum at 7.5 to pH 5.8,Thermoplasma acidophilum,Q9HLV8,722204,isocitrate + NADP+,2-oxoglutarate + CO2 + NADPH + H+,,,,,,,isocitrate + NADP+,oxidation,"{'NADP+', 'isocitrate'}",isocitrate dehydrogenase (NADP+)
209,1.1.1.431,5,10,"over 50% of maximal activity at pH 5.0-10.0, recombinant enzyme",Debaryomyces nepalensis,A0A0M4HL56,761017,D-xylose + NADPH + H+,xylitol + NADP+,,,,,,,D-xylose + NADPH + H+,reduction,"{'D-xylose', 'H+', 'NADPH'}",D-xylose reductase (NADPH)
3871,1.1.1.49,7.5,9.5,about 50% of maximal activity at pH 7.5 and pH 9.5,Rattus norvegicus,P05370,657284,D-glucose 6-phosphate + NADP+,"D-glucono-1,5-lactone 6-phosphate + NADPH + H+",,,,,,,D-glucose 6-phosphate + NADP+,oxidation,"{'D-glucose 6-phosphate', 'NADP+'}",glucose-6-phosphate dehydrogenase (NADP+)
220,1.1.1.62,6,11,"pH 6.0: about 30% of maximal activity, pH 11.0: about 40% of maximal activity",Pseudomonas putida,ANI02794.1,762698,17beta-estradiol + NAD+,estrone + NADH + H+,,,,,,,17beta-estradiol + NAD+,oxidation,"{'NAD+', '17beta-estradiol'}",17beta-estradiol 17-dehydrogenase
221,1.1.1.67,5.5,9.5,"about 80% activity at pH 5.5, 100% activity at pH 6.5, about 90% activity at pH 7.5, about 85% activity at pH 8.5, about 70% activity at pH 9.5",Saccharina japonica,R9UHL6,741310,D-fructose + NADH + H+,D-mannitol + NAD+,,,,,,,D-fructose + NADH + H+,reduction,"{'NADH', 'D-fructose', 'H+'}",mannitol 2-dehydrogenase
225,1.1.1.79,5.5,7,enzyme isoform GLYR1 retains at least half of maximal activity over the pH range of 5.5-7.0,Malus domestica,A0A1C8M582,761177,glyoxylate + NADPH + H+,glycolate + NADP+,,,,,,,glyoxylate + NADPH + H+,reduction,"{'glyoxylate', 'H+', 'NADPH'}",glyoxylate reductase (NADP+)
332,1.10.3.2,2,6,"pH 2.0: about 30% of maximal activity, pH 6.0: about 30% of maximal activity",Agrobacterium sp. S5-1,A0A0F6SIA9,743577,"2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) + O2",?,,,,,,,"2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) + O2",oxidation,"{'O2', ""2,2'-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)""}",laccase
336,1.10.3.2,2,11,for pH ranges between pH 2 and pH 11 enzyme activity ranges between 75 and 100%,Ganoderma lucidum,V9PQZ7,742425,"2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) + O2",?,,,,,,,"2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid) + O2",oxidation,"{'2,2-azino-bis-(3-ethylbenzthiazoline-6-sulfonic acid)', 'O2'}",laccase
293,1.1.3.6,6.5,9,"pH 6.5: about 50% of maximal activity, pH 9.0: about 50% of maximal activity",Pimelobacter simplex,A0A0A1DJ35,763666,cholesterol + O2,cholest-5-en-3-one + H2O2,,,,,,,cholesterol + O2,oxidation,"{'cholesterol', 'O2'}",cholesterol oxidase
285,1.1.3.6,5,8,"pH 5.0: about 45% of maximal activity, pH 8.0: about 40% of maximal activity",Chromobacterium sp. DS1,B5MGF8,763624,cholesterol + O2,cholest-5-en-3-one + H2O2,,,,,,,cholesterol + O2,oxidation,"{'cholesterol', 'O2'}",cholesterol oxidase
291,1.1.3.6,6,7,the enzyme activity retains more than 95% of its maximal activity within the pH range of 6-7 at 25°C,Streptomyces sp. SA-COO,P12676,762592,cholesterol + O2,cholest-5-en-3-one + H2O2,,,,,,,cholesterol + O2,oxidation,"{'cholesterol', 'O2'}",cholesterol oxidase
200,1.1.1.42,7.5,8.5,high activity between pH 7.5 and 8.5,Arabidopsis thaliana,Q9SRZ6,760361,isocitrate + NADP+,2-oxoglutarate + CO2 + NADPH + H+,,,,,,,isocitrate + NADP+,oxidation,"{'NADP+', 'isocitrate'}",isocitrate dehydrogenase (NADP+)
195,1.1.1.42,6.5,9,"pH 6.5: about 60% of maximal activity, pH 9.0: about 70% of maximal activity, isoenzyme IDP1",Mus musculus,P54071,684709,isocitrate + NADP+,2-oxoglutarate + CO2 + NADPH + H+,,,,,,,isocitrate + NADP+,oxidation,"{'NADP+', 'isocitrate'}",isocitrate dehydrogenase (NADP+)
102,1.1.1.203,6,8.5,more than 40% activity between pH 6.0 and 8.5,Thermobispora bispora,D6Y7Y8,762511,D-galacturonic acid + NAD+,D-galactaric acid + NADH + H+,,,,,,,D-galacturonic acid + NAD+,oxidation,"{'NAD+', 'D-galacturonic acid'}",uronate dehydrogenase
3791,1.1.1.205,8.5,10,"pH 8.5: about 60% of activity maximum, pH 10: about 75% of activity maximum",Vigna unguiculata,Q84XA3,347936,inosine 5'-phosphate + NAD+ + H2O,xanthosine 5'-phosphate + NADH,,,,,,,inosine 5'-phosphate + NAD+ + H2O,oxidation,"{'H2O', ""inosine 5'-phosphate"", 'NAD+'}",IMP dehydrogenase
120,1.1.1.22,9.5,11,"pH 9.5: about 40% of maximal activity, pH 11.0: about 10% of maximal activity",Pyrobaculum islandicum,A1RUM9,721871,UDP-alpha-D-glucose + 2 NAD+ + H2O,UDP-alpha-D-glucuronate + 2 NADH + 2 H+,,,,,,,UDP-alpha-D-glucose + 2 NAD+ + H2O,oxidation,"{'H2O', 'NAD+', 'UDP-alpha-D-glucose'}",UDP-glucose 6-dehydrogenase
119,1.1.1.22,7,-,37% of maximum activity,Burkholderia cepacia,C9E261,725260,UDP-alpha-D-glucose + 2 NAD+ + H2O,UDP-alpha-D-glucuronate + 2 NADH + 2 H+,,,,,,,UDP-alpha-D-glucose + 2 NAD+ + H2O,oxidation,"{'H2O', 'NAD+', 'UDP-alpha-D-glucose'}",UDP-glucose 6-dehydrogenase
